datetime,open,high,low,close,volume,turnover,open_interest
2022-01-04 00:00:00,2190.3,2212.8,2152.79,2212.8,1169259,1918887056.0,0
2022-01-05 00:00:00,2202.8,2282.82,2199.05,2274.07,1961998,3344124592.0,0
2022-01-06 00:00:00,2269.06,2289.07,2255.31,2270.31,1107885,1896535840.0,0
2022-01-07 00:00:00,2267.81,2290.32,2262.81,2280.32,1126631,1937710960.0,0
2022-01-10 00:00:00,2291.57,2307.82,2259.06,2279.07,909774,1563414576.0,0
2022-01-11 00:00:00,2287.82,2322.82,2272.82,2306.57,1581999,2752485392.0,0
2022-01-12 00:00:00,2306.57,2311.57,2242.81,2255.31,1502164,2561266416.0,0
2022-01-13 00:00:00,2244.06,2285.32,2232.81,2252.81,909423,1550319152.0,0
2022-01-14 00:00:00,2255.31,2257.81,2167.8,2171.55,2103095,3459950800.0,0
2022-01-17 00:00:00,2174.05,2190.3,2145.29,2157.8,1143689,1855633792.0,0
2022-01-18 00:00:00,2161.55,2197.8,2150.29,2195.3,1152974,1891094608.0,0
2022-01-19 00:00:00,2197.8,2216.56,2175.3,2192.8,988392,1630973584.0,0
2022-01-20 00:00:00,2189.05,2312.82,2182.8,2296.57,3031194,5195805440.0,0
2022-01-21 00:00:00,2311.57,2325.32,2281.57,2299.07,1481683,2575115120.0,0
2022-01-24 00:00:00,2297.82,2302.82,2252.81,2280.32,874771,1501390336.0,0
2022-01-25 00:00:00,2265.31,2265.31,2231.56,2236.56,1093284,1851999024.0,0
2022-01-26 00:00:00,2249.06,2267.81,2197.8,2211.55,984975,1646384992.0,0
2022-01-27 00:00:00,2192.8,2197.8,2161.55,2167.8,1024643,1677261296.0,0
2022-01-28 00:00:00,2179.05,2186.55,2107.79,2109.04,1675564,2695470336.0,0
2022-02-07 00:00:00,2132.79,2181.55,2116.54,2179.05,1515476,2451798480.0,0
2022-02-08 00:00:00,2167.8,2251.56,2162.8,2234.06,1754695,2950309008.0,0
2022-02-09 00:00:00,2245.31,2255.31,2219.06,2237.81,1051162,1774253632.0,0
2022-02-10 00:00:00,2226.56,2259.06,2214.06,2254.06,784557,1326848944.0,0
2022-02-11 00:00:00,2259.06,2297.82,2259.06,2267.81,1078139,1852167488.0,0
2022-02-14 00:00:00,2267.81,2274.07,2194.05,2202.8,1150659,1917613424.0,0
2022-02-15 00:00:00,2192.8,2214.06,2142.79,2165.3,1208264,1968985376.0,0
2022-02-16 00:00:00,2174.05,2196.55,2156.55,2181.55,782400,1282234144.0,0
2022-02-17 00:00:00,2179.05,2199.05,2170.3,2182.8,794502,1306514352.0,0
2022-02-18 00:00:00,2170.3,2226.56,2169.05,2226.56,802499,1330233360.0,0
2022-02-21 00:00:00,2212.8,2214.06,2170.3,2194.05,800995,1316023712.0,0
2022-02-22 00:00:00,2169.05,2185.3,2150.29,2159.05,894957,1454156224.0,0
2022-02-23 00:00:00,2167.8,2169.05,2135.29,2154.04,886742,1431289856.0,0
2022-02-24 00:00:00,2146.54,2149.04,2105.29,2119.04,1324087,2112842560.0,0
2022-02-25 00:00:00,2129.04,2140.29,2114.04,2117.79,726397,1157890272.0,0
2022-02-28 00:00:00,2117.79,2120.29,2082.78,2099.04,723990,1137154096.0,0
2022-03-01 00:00:00,2104.04,2124.04,2082.78,2120.29,935040,1474693968.0,0
2022-03-02 00:00:00,2104.04,2114.04,2087.78,2090.28,760761,1196321952.0,0
2022-03-03 00:00:00,2096.54,2106.54,2084.03,2094.03,578285,908171584.0,0
2022-03-04 00:00:00,2082.78,2084.03,2040.28,2046.53,990936,1523793664.0,0
2022-03-07 00:00:00,2026.52,2026.52,1962.76,1970.26,1113159,1655959936.0,0
2022-03-08 00:00:00,1957.76,1987.77,1911.5,1919.01,1003033,1463145936.0,0
2022-03-09 00:00:00,1930.26,1936.51,1782.73,1860.25,1800760,2492042992.0,0
2022-03-10 00:00:00,1902.75,1974.01,1891.5,1951.51,2249158,3269867792.0,0
2022-03-11 00:00:00,1930.26,2002.77,1899.0,1992.77,1493647,2187480608.0,0
2022-03-14 00:00:00,1959.01,1996.52,1936.51,1941.51,1118407,1637278464.0,0
2022-03-15 00:00:00,1930.26,1930.26,1830.24,1840.24,1781409,2479769552.0,0
2022-03-16 00:00:00,1862.75,1930.26,1818.99,1919.01,1531779,2141637072.0,0
2022-03-17 00:00:00,1962.76,1969.01,1910.25,1936.51,1730061,2506504224.0,0
2022-03-18 00:00:00,1925.26,1986.52,1897.75,1967.76,1528807,2222158768.0,0
2022-03-21 00:00:00,1942.76,1982.77,1929.01,1954.01,1208868,1765673888.0,0
2022-03-22 00:00:00,1954.01,2032.77,1942.76,2027.77,1628657,2443174048.0,0
2022-03-23 00:00:00,2019.02,2029.02,1992.77,2005.27,1050102,1577561344.0,0
2022-03-24 00:00:00,1995.27,2044.03,1981.52,2030.27,1002360,1518870080.0,0
2022-03-25 00:00:00,2024.02,2036.53,1982.77,2002.77,742933,1116354592.0,0
2022-03-28 00:00:00,1980.27,2011.52,1959.01,1986.52,727137,1078327296.0,0
2022-03-29 00:00:00,1990.27,1999.02,1955.26,1965.26,615643,909169632.0,0
2022-03-30 00:00:00,1987.77,2039.03,1975.26,2031.52,1236792,1859617040.0,0
2022-03-31 00:00:00,2017.77,2076.53,2012.77,2052.78,1163747,1789209952.0,0
2022-04-01 00:00:00,2051.53,2104.04,2030.27,2099.04,1484879,2319616864.0,0
2022-04-06 00:00:00,2085.28,2197.8,2084.03,2179.05,2488540,4064051488.0,0
2022-04-07 00:00:00,2177.8,2212.8,2155.3,2165.3,1659065,2724002912.0,0
2022-04-08 00:00:00,2162.8,2186.55,2146.54,2180.3,1066779,1741072080.0,0
2022-04-11 00:00:00,2174.05,2180.3,2105.29,2136.54,1416735,2277469056.0,0
2022-04-12 00:00:00,2136.54,2162.8,2087.78,2120.29,1039261,1654820080.0,0
2022-04-13 00:00:00,2116.54,2140.29,2095.29,2105.29,890628,1415496128.0,0
2022-04-14 00:00:00,2130.29,2161.55,2120.29,2135.29,929615,1493343952.0,0
2022-04-15 00:00:00,2117.79,2196.55,2112.79,2182.8,1231761,2014010096.0,0
2022-04-18 00:00:00,2149.04,2155.3,2106.54,2117.79,1086888,1734236528.0,0
2022-04-19 00:00:00,2117.79,2126.54,2082.78,2106.54,821772,1294226944.0,0
2022-04-20 00:00:00,2106.54,2136.54,2092.78,2111.54,716555,1137697840.0,0
2022-04-21 00:00:00,2101.54,2127.79,2092.78,2106.54,709891,1124663648.0,0
2022-04-22 00:00:00,2085.28,2154.04,2055.28,2137.79,921274,1468452960.0,0
2022-04-25 00:00:00,2089.03,2119.04,1977.77,1986.52,1664481,2527610224.0,0
2022-04-26 00:00:00,1990.27,2002.77,1936.51,1971.51,988210,1456929632.0,0
2022-04-27 00:00:00,2002.77,2086.53,2000.27,2086.53,1490295,2296798752.0,0
2022-04-28 00:00:00,2076.53,2121.54,2051.53,2086.53,911772,1426381920.0,0
2022-04-29 00:00:00,2091.53,2097.79,2001.52,2045.28,1645013,2503476832.0,0
2022-05-05 00:00:00,2030.27,2061.53,2024.02,2045.28,790196,1208735136.0,0
2022-05-06 00:00:00,2007.77,2030.27,1994.02,2000.27,832432,1250995600.0,0
2022-05-09 00:00:00,1997.77,1997.77,1937.76,1949.01,818621,1197104240.0,0
2022-05-10 00:00:00,1942.76,1955.26,1894.0,1954.01,992285,1425836928.0,0
2022-05-11 00:00:00,1947.76,1985.27,1935.26,1959.01,848574,1240700432.0,0
2022-05-12 00:00:00,1940.26,1950.26,1921.51,1927.76,685064,987061600.0,0
2022-05-13 00:00:00,1942.76,1962.76,1941.51,1956.51,676312,985962928.0,0
2022-05-16 00:00:00,1962.76,1971.51,1924.01,1931.51,668228,965652304.0,0
2022-05-17 00:00:00,1944.01,1970.26,1920.26,1969.01,931406,1357428400.0,0
2022-05-18 00:00:00,1986.52,1991.52,1964.01,1974.01,778578,1150500432.0,0
2022-05-19 00:00:00,1949.01,1967.76,1942.76,1957.76,590922,863214128.0,0
2022-05-20 00:00:00,1967.76,2010.27,1964.01,2007.77,948598,1415164704.0,0
2022-05-23 00:00:00,2014.02,2014.02,1975.26,1984.02,647726,962683728.0,0
2022-05-24 00:00:00,1989.02,1989.02,1930.26,1930.26,933557,1358693536.0,0
2022-05-25 00:00:00,1934.01,1941.51,1917.75,1929.01,603228,866228928.0,0
2022-05-26 00:00:00,1931.51,1934.01,1889.0,1904.0,1011318,1435689344.0,0
2022-05-27 00:00:00,1916.5,1924.01,1894.0,1902.75,723067,1029702192.0,0
2022-05-30 00:00:00,1912.75,1915.25,1885.25,1890.25,896901,1265573040.0,0
2022-05-31 00:00:00,1889.0,1902.75,1880.25,1900.25,938869,1325012048.0,0
2022-06-01 00:00:00,1897.75,1897.75,1880.25,1890.25,845299,1187423728.0,0
2022-06-02 00:00:00,1882.75,1884.0,1865.25,1874.0,979268,1363740800.0,0
2022-06-06 00:00:00,1869.0,1901.5,1835.24,1901.5,1710852,2370807616.0,0
2022-06-07 00:00:00,1882.75,1911.5,1879.0,1900.25,1315113,1860366720.0,0
2022-06-08 00:00:00,1900.25,1901.5,1881.5,1900.25,1145521,1613524960.0,0
2022-06-09 00:00:00,1897.75,1937.76,1892.75,1924.01,1632901,2339986704.0,0
2022-06-10 00:00:00,1912.75,1921.51,1896.5,1920.26,1346012,1914639696.0,0
2022-06-13 00:00:00,1902.75,1904.0,1865.25,1869.0,1547753,2163340112.0,0
2022-06-14 00:00:00,1843.99,1896.5,1843.99,1895.25,1151429,1602169904.0,0
2022-06-15 00:00:00,1892.75,2019.02,1887.75,1972.76,3413544,5010292736.0,0
2022-06-16 00:00:00,1972.76,1984.02,1932.76,1935.26,1332546,1939976256.0,0
2022-06-17 00:00:00,1920.26,1946.51,1905.25,1936.51,1053788,1513925920.0,0
2022-06-20 00:00:00,1935.26,1935.26,1912.75,1922.76,1032167,1479529792.0,0
2022-06-21 00:00:00,1922.76,1959.01,1909.0,1926.51,1321794,1905346064.0,0
2022-06-22 00:00:00,1925.26,1925.26,1890.25,1890.25,1056046,1498415776.0,0
2022-06-23 00:00:00,1891.5,1909.0,1887.75,1905.25,806028,1140899088.0,0
2022-06-24 00:00:00,1905.25,1911.5,1894.0,1909.0,866041,1227798688.0,0
2022-06-27 00:00:00,1910.25,1950.26,1907.75,1941.51,1497278,2166380432.0,0
2022-06-28 00:00:00,1939.01,1964.01,1931.51,1959.01,1125110,1638673248.0,0
2022-06-29 00:00:00,1961.51,1992.77,1949.01,1960.26,1266547,1865064672.0,0
2022-06-30 00:00:00,1959.01,2007.77,1949.01,2002.77,1548745,2304888688.0,0
2022-07-01 00:00:00,2005.27,2014.02,1985.27,1995.27,779243,1164030784.0,0
2022-07-04 00:00:00,1999.02,2002.77,1974.01,1997.77,834968,1241453408.0,0
2022-07-05 00:00:00,2004.02,2039.03,1982.77,1994.02,1115172,1674719024.0,0
2022-07-06 00:00:00,1984.02,1996.52,1937.76,1946.51,1043335,1520022512.0,0
