filter,removed,remaining,ratio
1_ST_退市,0,667,1.0
2_停牌,667,0,0.0
3_涨跌停,0,0,0.0
4_上市龄,0,0,0.0
5_成交量,0,0,0.0
6_价格,0,0,0.0
7_换手率,0,0,0.0
