bucket,n_obs,mean_y_true,std_y_true,mean_y_pred,std_y_pred,min_y_true,max_y_true,model
1,25,0.0011632448440710799,0.016728575262376207,-0.016713078321737063,0.0015347972842412892,-0.0399499924315899,0.0234878119608479,Ridge
2,25,0.0017059606817792954,0.021919333686996164,-0.011450975529324914,0.0007149352720644857,-0.0271118339232756,0.0559705481465643,Ridge
3,24,0.005394574242872534,0.021513218996451904,-0.008296452573304448,0.0010352209275482154,-0.033277353528312,0.0606201509193325,Ridge
4,25,0.036447080345014,0.06104606103421485,-0.002680835139308034,0.0020659621336550594,-0.0301036643695214,0.1985510455882818,Ridge
5,25,-0.01236313051008937,0.021150564972329824,0.008428079086720018,0.007550822013496768,-0.0484413356209581,0.0448679359946795,Ridge
1,25,-0.0009332403633951994,0.019776313624158826,-0.009718147835812511,0.003952201748307516,-0.0399499924315899,0.0234878119608479,RandomForest
2,25,0.012760749340470357,0.03756178765705674,-0.003747534934099636,0.001035750256078523,-0.0196631422824975,0.1762615401607338,RandomForest
3,24,0.014583355595428796,0.054601876070847044,-0.0015205308348536072,0.0005125769465084685,-0.0288791986388579,0.1985510455882818,RandomForest
4,25,0.007236288174636256,0.03044557888705843,0.0013490379014244414,0.0013129082637447305,-0.0375581369472817,0.0923968184380284,RandomForest
5,25,-0.0009318718893904121,0.03048907711854614,0.008428466750150935,0.003730654141554284,-0.0484413356209581,0.0801747359889389,RandomForest
1,27,0.02638467121612062,0.04247572867612211,-0.004059149993989807,0.00042586514918267044,-0.0196631422824975,0.1985510455882818,LightGBM
2,61,-0.0022432895427871987,0.018107144056639286,-0.003210945875915246,8.745598841331765e-19,-0.0399499924315899,0.0293699641256633,LightGBM
3,24,0.014588038124257477,0.05446397063731766,-0.0028349987727141496,7.225851361001991e-05,-0.0307669393015108,0.1762615401607338,LightGBM
4,12,-0.010196642488258415,0.02456649281491041,-0.0011509611039543044,2.2648244732202216e-19,-0.0484413356209581,0.0448679359946795,LightGBM
