factor_name,timestamp,ic_mean,icir_annual,psi,ic_half_life,overall_pass
turnover_mean_5d,2025-12-02T09:54:07.607730,-0.0333297068819221,-3.235655737182157,0.0154746858031271,2.0,True
turnover_roc_5d,2025-12-02T09:54:07.610812,-0.0644467570734561,-5.296743695665404,0.028190987371525,4.0,True
turnover_roc_20d,2025-12-02T09:54:07.624125,-0.0589646979797147,-5.2256457681286905,0.0048242100748774,3.0,True
hl_range_mean_5d,2025-12-02T09:54:07.635681,-0.03898627378473397,-3.6106865247922055,0.002776748031652995,20.0,True
