k_value,cluster_id,train_mean_return,test_mean_return,train_rank,test_rank,train_samples,test_samples,train_positive_ratio,test_positive_ratio,center_PC1,center_PC2,center_PC3,center_PC4,center_PC5,train_PC1_mean,train_PC1_std,train_PC1_min,train_PC1_max,train_PC2_mean,train_PC2_std,train_PC2_min,train_PC2_max,train_PC3_mean,train_PC3_std,train_PC3_min,train_PC3_max,train_PC4_mean,train_PC4_std,train_PC4_min,train_PC4_max,train_PC5_mean,train_PC5_std,train_PC5_min,train_PC5_max
5,0,0.01124431780334876,0.033150726096670746,1,1,84,6,0.5952380952380952,0.3333333333333333,0.5950434344166979,-0.7504527763680295,0.7986844685712766,-0.6379900085695557,0.5538862231133436,0.595043434416698,0.7538273388040766,-0.5573331244682186,3.127615836063184,-0.7504527763680293,1.0574668064814818,-2.6651757281844817,2.2460012839788166,0.7986844685712766,1.2185956799523774,-1.7331076175397253,3.8514275496730246,-0.6379900085695558,1.1710992474595612,-2.8584193882264706,3.9348440356829726,0.5538862231133438,0.4652637166336943,-0.7050145121341933,1.4773191086955064
5,1,-0.00816858259675932,-0.0012647685240211677,4,4,87,47,0.2988505747126437,0.48936170212765956,-0.060329242170973664,1.8180086072452188,-0.7334581904808483,0.22620812982511035,0.07289004307676339,-0.06032924217097357,1.1393190205748454,-2.1836084623604375,3.3743082568954863,1.8180086072452186,0.9499079938389529,-0.09110748461726473,4.585857413735405,-0.7334581904808486,1.0450729981315046,-2.353935781136206,2.071993250291037,0.22620812982511043,0.8992309731509174,-2.3193112656670816,2.895281784516114,0.07289004307676346,0.5202011431551392,-1.1728920901469864,1.2866015357406166
5,2,-0.004602157971540107,0.019202913976302458,3,2,142,24,0.3380281690140845,0.4583333333333333,-1.1511783115171534,-0.4376770097082727,0.1916634844861547,0.14226883533865317,-0.36201612066150546,-1.1511783115171534,0.49510749952117156,-2.354354467959857,-0.009555408436647816,-0.43767700970827256,0.49243135096642365,-1.9790557163673779,0.7294448674246679,0.19166348448615472,0.696201883783919,-1.3968122007522499,2.224331992690402,0.1422688353386532,0.6177843184221066,-1.1180067282998074,2.5663634252148784,-0.36201612066150535,0.8891369649222386,-2.549515750709626,1.0370829657341407
5,4,-0.01802803999075667,0.01049491488519125,5,3,7,10,0.0,0.5,8.239621178419425,0.9081787101592073,0.8612076357473782,-0.020310098688619844,-0.7808123366589281,8.239621178419425,2.0585625136216104,4.316161252092685,10.96181425084857,0.9081787101592074,1.0523047078698267,-0.5590343000294598,2.349913299236158,0.8612076357473784,2.0420766593381514,-2.0204819670120093,3.0738630776828924,-0.02031009868861993,1.7982484731146762,-2.4960559693640145,2.113996515546601,-0.7808123366589282,0.5470326806773123,-1.5448785264712694,0.41949175770120417
