k_value,cluster_id,train_count,train_mean_return,train_std_return,train_positive_ratio,train_rank,test_count,test_mean_return,test_std_return,test_positive_ratio,test_rank,PC1_mean,PC1_std,PC1_min,PC1_max,PC2_mean,PC2_std,PC2_min,PC2_max,PC3_mean,PC3_std,PC3_min,PC3_max,PC4_mean,PC4_std,PC4_min,PC4_max,PC5_mean,PC5_std,PC5_min,PC5_max,validation_passed,train_significant,test_top_50_percent,is_best_cluster,overall_performance,timestamp,global_rank
4,0,65,0.008090659124271524,0.033650587518244575,0.5384615384615384,1,10,0.031000790841125676,0.07994062512112216,0.4,1,1.0637223378727045,1.0757932364695082,-0.6967356521488851,4.3601615779082135,-0.23481290142360042,1.270735154916285,-4.582796089613122,1.8360223052208062,1.2587772418510064,1.1771372019684316,-0.8042906229941913,4.023259598025341,-0.6317209554278171,1.337761792529623,-2.9031232885785627,3.79017084269454,0.5419198593670635,0.4658411167607049,-0.45556535880216864,1.511945327242961,True,True,True,True,0.0390914499653972,2025-09-28 11:40:11.214310,3
4,3,170,-0.0009651586227328248,0.022107457558002155,0.4235294117647059,2,21,0.02016303551448901,0.05651186714145411,0.47619047619047616,2,-0.9364730417496294,0.6849992123312805,-2.324340964521788,0.9946358013820205,0.7088820319922369,0.6541538547148412,-0.7445136067061044,2.637311467523327,0.1834033201549424,0.7163481775700651,-1.7945199365570361,2.2592242282550523,0.01295428092406453,0.6548942874309039,-1.4845424871999746,2.3903454894250795,-0.24232932609196342,0.8981036660938752,-2.5990688622639353,1.2593360109672165,True,True,True,False,0.019197876891756185,2025-09-28 11:40:11.216004,4
4,1,89,-0.006865099523771394,0.024495156612756478,0.29213483146067415,4,45,0.0012724228644650341,0.01796434900424756,0.5333333333333333,3,-0.2758045396794848,0.8254077096631152,-2.11922112985662,2.038110638831715,-1.60434507790874,0.9313594559114268,-3.8482057721296568,0.10301239455858717,-0.9127695233085951,0.8834338721175607,-2.389673647010936,1.200717478260777,0.2807657733736992,0.876674913857037,-2.2556547296415594,2.888345510388034,0.08766161089828478,0.4907272726262669,-1.1747879682783995,1.2080645347978638,True,True,True,False,-0.00559267665930636,2025-09-28 11:40:11.215499,8
4,2,20,-0.005205515010509545,0.015728741015144,0.35,3,11,-0.005769520042134854,0.024123126537287,0.2727272727272727,4,5.73025345835927,2.3334708964055677,3.384196980968782,11.00581259127258,1.8769802543865821,1.7633136954687758,-1.7072840387280932,3.763302811334408,-1.5881298786095317,1.9489833302428219,-3.4527630143219166,3.1373380667686144,0.6935740257728956,1.3908879537088361,-2.3978814316243238,2.5261505638098622,-0.0915344396586338,0.7210255093183934,-1.5009901574059064,1.1530622066228395,True,True,True,False,-0.010975035052644399,2025-09-28 11:40:11.216004,12
5,2,87,0.010825133737054682,0.030949420273629732,0.5862068965517241,1,5,0.043414734447947655,0.1005048547645889,0.4,1,0.5467951163218591,0.7193470717521805,-0.5360053946211514,2.564051823637681,0.7192523569284629,1.0100740204160719,-1.6224100988213264,2.637311467523327,0.819355097920435,1.250725382087121,-1.7945199365570361,4.023259598025341,-0.6372187112165759,1.166759396062544,-2.9031232885785627,3.79017084269454,0.5680967623081836,0.4779155361641328,-0.7677259212355793,1.511945327242961,True,True,True,True,0.054239868185002336,2025-09-28 11:40:11.219522,1
5,1,150,-0.0033829032092854362,0.020363116452806675,0.36666666666666664,3,25,0.019202913976302458,0.05431994224064295,0.44,2,-1.1492289167042542,0.4887141035745704,-2.324340964521788,0.010983573149488834,0.4093484581903871,0.5012996673442129,-0.7564917042728663,1.9252089129004115,0.14633400870641877,0.721374242293596,-1.422196905028487,2.2653462818283914,0.11733552682675644,0.6167080002160389,-1.1838551218149325,2.3903454894250795,-0.3539887817916132,0.8707764363890864,-2.5990688622639353,0.9603135101456632,True,True,True,False,0.015820010767017022,2025-09-28 11:40:11.218014,6
5,3,6,-0.01911076369684915,0.008777032920565343,0.0,5,10,0.01049491488519125,0.03690278882277324,0.5,3,8.931867193803113,1.4007369352447023,7.419344072639811,11.00581259127258,-0.5318783278034679,0.9373955583767843,-1.7072840387280932,0.700626174719113,0.583884338078521,2.1797932348861484,-2.1310541046928515,3.1373380667686144,-0.26889456190410876,1.760852784582175,-2.3978814316243238,1.957991446223357,-1.0171948500918666,0.28005334171142865,-1.5009901574059064,-0.6567695674145976,True,True,True,False,-0.008615848811657901,2025-09-28 11:40:11.219522,10
5,0,87,-0.00785665671417847,0.025297033833050847,0.3103448275862069,4,47,-0.0016489627771050916,0.01845236888395009,0.48936170212765956,4,0.11733440480978176,1.2634159586047204,-2.11922112985662,4.3601615779082135,-1.8565152743570803,0.9379610925871819,-4.582796089613122,0.10301239455858717,-0.7065677845155172,1.126593127189134,-2.389673647010936,2.365981767095867,0.27547377398127265,0.9042854878816877,-2.2556547296415594,2.888345510388034,0.06327112346095047,0.49807673973627775,-1.1747879682783995,1.2080645347978638,True,True,True,False,-0.009505619491283562,2025-09-28 11:40:11.218014,11
6,5,80,0.0129106451686339,0.03127081745442335,0.625,1,4,0.031169213450427474,0.11166295660750745,0.25,1,0.4321100049378629,0.5689025784625531,-0.5360053946211514,1.848986807743333,0.8706374827626224,0.8940161266484866,-0.7297101386356927,2.637311467523327,0.7786499326786191,1.2583812285126716,-1.7945199365570361,4.023259598025341,-0.6086785058302902,1.1805059016491541,-2.9031232885785627,3.79017084269454,0.5768858988385945,0.4777695547757034,-0.7677259212355793,1.511945327242961,True,True,True,True,0.04407985861906137,2025-09-28 11:40:11.225749,2
6,0,138,-0.0030137407855139026,0.020844085800716727,0.391304347826087,3,21,0.02016303551448901,0.05651186714145411,0.47619047619047616,2,-1.178051604033532,0.4900989761861742,-2.324340964521788,0.010983573149488834,0.48045150823254285,0.44849841216871816,-0.7445136067061044,1.9252089129004115,0.2449828563304973,0.6765756727883103,-1.2110382325087121,2.2653462818283914,0.12228089665903329,0.6344954260861544,-1.1838551218149325,2.3903454894250795,-0.4117766164568103,0.8828588219854351,-2.5990688622639353,0.9603135101456632,True,True,True,False,0.01714929472897511,2025-09-28 11:40:11.222687,5
