date,benchmark_equity,strategy_equity,benchmark_drawdown,strategy_drawdown,excess_equity
2025-03-26 00:00:00+00:00,0.9992805631176366,1.0,0.0,0.0,0.0007194368823634223
2025-03-27 00:00:00+00:00,0.9956885508790443,0.9964054016747953,-0.0035945983252047243,-0.003594598325204701,0.0007168507957510117
2025-03-28 00:00:00+00:00,0.9490203163057389,0.9497035680799277,-0.05029643192007225,-0.05029643192007227,0.00068325177418882
2025-03-31 00:00:00+00:00,0.9187117433843071,0.9193731743545933,-0.08062682564540671,-0.08062682564540669,0.0006614309702862586
2025-04-01 00:00:00+00:00,0.8873937207116793,0.8880326041198243,-0.11196739588017564,-0.11196739588017568,0.0006388834081449968
2025-04-02 00:00:00+00:00,0.8573610894615968,0.8579783507313823,-0.14202164926861766,-0.1420216492686177,0.0006172612697854518
2025-04-03 00:00:00+00:00,0.8295192596503392,0.8301164760598743,-0.16988352394012574,-0.16988352394012574,0.0005972164095350285
2025-04-07 00:00:00+00:00,0.8439514871868286,0.8445590941484944,-0.15544090585150558,-0.1554409058515056,0.0006076069616658408
2025-04-08 00:00:00+00:00,0.8521811605712921,0.8445590941484944,-0.14720530747382077,-0.1554409058515056,-0.007622066422797724
2025-04-09 00:00:00+00:00,0.8649820992280095,0.8445590941484944,-0.13439515271930422,-0.1554409058515056,-0.02042300507951511
2025-04-10 00:00:00+00:00,0.875300253941417,0.8445590941484944,-0.12406956940042523,-0.1554409058515056,-0.03074115979292258
2025-04-11 00:00:00+00:00,0.8942348666736615,0.8445590941484944,-0.10512132460201669,-0.1554409058515056,-0.04967577252516708
2025-04-14 00:00:00+00:00,0.900224055768864,0.8445590941484944,-0.09912782356111086,-0.1554409058515056,-0.0556649616203696
2025-04-15 00:00:00+00:00,0.9062390230005889,0.8502021285064463,-0.09310852582458838,-0.14979787149355372,-0.05603689449414262
2025-04-16 00:00:00+00:00,0.9069093300348858,0.8508309873978072,-0.09243773619949484,-0.14916901260219284,-0.05607834263707867
2025-04-17 00:00:00+00:00,0.9049058130433449,0.8489513570050804,-0.0944426956327997,-0.1510486429949196,-0.055954456038264544
2025-04-18 00:00:00+00:00,0.8936768580676835,0.8384167395598943,-0.10567973494899378,-0.16158326044010574,-0.055260118507789224
2025-04-21 00:00:00+00:00,0.8923567802257311,0.8371782881552019,-0.10700076318738355,-0.1628217118447981,-0.05517849207052916
2025-04-22 00:00:00+00:00,0.8884082290114365,0.8334738938820502,-0.11095215718025338,-0.16652610611794982,-0.05493433512938628
2025-04-23 00:00:00+00:00,0.8818366493559611,0.8273086649866584,-0.1175284680763373,-0.17269133501334155,-0.05452798436930262
2025-04-24 00:00:00+00:00,0.8772809549779855,0.8230346699823877,-0.12208744234855001,-0.17696533001761228,-0.054246284995597804
2025-04-25 00:00:00+00:00,0.8785777717064094,0.8242512986143552,-0.12078969197064018,-0.1757487013856448,-0.054326473092054184
2025-04-28 00:00:00+00:00,0.8837765490320804,0.8291286118128993,-0.11558717176004847,-0.17087138818710068,-0.05464793721918104
2025-04-29 00:00:00+00:00,0.8949057849100109,0.8395696762472442,-0.10444992333483274,-0.1604303237527558,-0.055336108662766725
2025-04-30 00:00:00+00:00,0.911570220599491,0.8552036738284161,-0.08777349000414832,-0.1447963261715839,-0.05636654677107489
2025-05-06 00:00:00+00:00,0.933886506111832,0.8761400415651843,-0.06544113777394299,-0.12385995843481568,-0.05774646454664767
2025-05-07 00:00:00+00:00,0.9614611135857076,0.9020095852197877,-0.03784667782783322,-0.09799041478021231,-0.05945152836591994
2025-05-08 00:00:00+00:00,0.9833771580755787,0.9225704606630407,-0.01591485477556089,-0.07742953933695929,-0.06080669741253797
2025-05-09 00:00:00+00:00,0.9999229311072474,0.9380931330400613,0.0,-0.061906866959938744,-0.06182979806718614
2025-05-12 00:00:00+00:00,1.0152728945227256,0.9524939381666433,0.0,-0.047506061833356705,-0.06277895635608233
2025-05-13 00:00:00+00:00,1.0226247449134835,0.9593911900969204,0.0,-0.04060880990307958,-0.06323355481656312
2025-05-14 00:00:00+00:00,1.026290108619854,0.9628299076381142,0.0,-0.03717009236188584,-0.06346020098173977
2025-05-15 00:00:00+00:00,1.0381011334389643,0.9739106028920014,0.0,-0.026089397107998624,-0.06419053054696289
2025-05-16 00:00:00+00:00,1.0440818941690626,0.9795215458924267,0.0,-0.02047845410757332,-0.06456034827663593
2025-05-19 00:00:00+00:00,1.0478463667920588,0.9830532439936388,0.0,-0.016946756006361197,-0.06479312279841998
2025-05-20 00:00:00+00:00,1.0553855669212162,0.9901262609730032,0.0,-0.009873739026996842,-0.06525930594821305
2025-05-21 00:00:00+00:00,1.0591548441662462,0.9936624666045426,0.0,-0.006337533395457395,-0.06549237756170356
2025-05-22 00:00:00+00:00,1.0523797894410352,0.9873063444315535,-0.006396661227135533,-0.012693655568446482,-0.06507344500948165
2025-05-23 00:00:00+00:00,1.059907628024603,0.9943687024015414,0.0,-0.0056312975984585956,-0.06553892562306152
2025-05-26 00:00:00+00:00,1.0895610512295748,1.0221885191237277,0.0,0.0,-0.06737253210584715
2025-05-27 00:00:00+00:00,1.1167809458129785,1.0477252834046407,0.0,0.0,-0.06905566240833783
2025-05-28 00:00:00+00:00,1.1279091389037053,1.0581653695320734,0.0,0.0,-0.06974376937163185
2025-05-29 00:00:00+00:00,1.1472726075368864,1.0763315065327614,0.0,0.0,-0.07094110100412498
2025-05-30 00:00:00+00:00,1.1594951108558542,1.0877982366930414,0.0,0.0,-0.07169687416281278
2025-06-03 00:00:00+00:00,1.1594951108558542,1.0877982366930414,0.0,0.0,-0.07169687416281278
2025-06-04 00:00:00+00:00,1.1603025677013732,1.088555764796901,0.0,0.0,-0.0717468029044721
