因子名称,IC方向,IC均值,|IC|,ICIR年化,|ICIR|,IC_P值,Spread均值,单调性Tau,最大相关性,IC半衰期,PSI,KS统计量,KS_P值,严格通过IC,严格通过ICIR,严格通过,探索通过IC,探索通过ICIR,探索通过,通过Spread,通过相关性,通过PSI,通过KS,失败原因
turnover_roc_5d,negative,-0.03746532229680288,0.03746532229680288,-3.847330815114395,3.847330815114395,8.722937283704965e-23,,,0.16529550265130935,,0.3370364976710413,0.1566426020847267,6.374238810157575e-257,True,True,True,True,True,True,True,True,False,False,
turnover_roc_20d,negative,-0.03006395908002508,0.03006395908002508,-3.0118420115806392,3.0118420115806392,1.0406236423656478e-14,,,0.23032884098283096,,0.18540802418261948,0.11700317019458528,3.5384012217245827e-143,True,True,True,True,True,True,True,True,True,False,
turnover_mean_5d,negative,-0.0224801506262301,0.0224801506262301,-2.4625374998424236,2.4625374998424236,2.267141414386808e-10,,,0.22843950881909686,,0.39734745581765046,0.15567606336933154,9.485930748275992e-254,True,True,True,True,True,True,True,True,False,False,
turnover_std_5d,negative,-0.020251612164269853,0.020251612164269853,-2.2309675005827256,2.2309675005827256,8.831866350534918e-09,,,0.8977077791208953,,0.2949111604272579,0.11666412950000649,2.3199991499178784e-142,True,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
rev_20d,positive,0.015433961553771053,0.015433961553771053,1.5782964546981302,1.5782964546981302,4.5227744324805464e-05,,,0.8708280990550027,,0.8317783231978483,0.19608442028185302,0.0,False,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
hl_range_mean_5d,negative,-0.015185583249916259,0.015185583249916259,-1.6814082932677348,1.6814082932677348,1.3987322130847973e-05,,,0.5391256270658417,,0.0881937962209048,0.08033884749463993,1.240210332412086e-67,False,True,False,True,True,True,True,True,True,False,
roc_60d,negative,-0.013329517134112045,0.013329517134112045,-1.4330033150553618,1.4330033150553618,0.00021221716531815452,,,0.7513260857526147,,0.14738543564702988,0.08707570717913671,2.2123746885842255e-79,False,True,False,True,True,True,True,True,True,False,
mom_frog_20d,negative,-0.01324810897629384,0.01324810897629384,-1.480539699663042,1.480539699663042,0.00012945583313029864,,,0.8459416030365352,,0.9890940567935718,0.19742395283305136,0.0,False,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
rank_momentum_20d,negative,-0.012204374731941305,0.012204374731941305,-1.3467253806053439,1.3467253806053439,0.0004960992129889112,,,0.8157943322132937,,0.37691223913404115,0.14722962405818552,7.38299130638977e-227,False,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
price_to_sma_20d,negative,-0.010435393393175625,0.010435393393175625,-1.1325450744587404,1.1325450744587404,0.003384338107524869,,,0.9134615040198016,,0.05469522984868406,0.0630406333404108,8.74571556994575e-42,False,True,False,True,True,False,True,False,True,False,MaxCorr>0.8
