因子名称,IC方向,IC均值,|IC|,ICIR年化,|ICIR|,IC_P值,Spread均值,单调性Tau,最大相关性,IC半衰期,PSI,KS统计量,KS_P值,严格通过IC,严格通过ICIR,严格通过,探索通过IC,探索通过ICIR,探索通过,通过Spread,通过相关性,通过PSI,通过KS,失败原因
turnover_roc_5d,negative,-0.06444675707345619,0.06444675707345619,-5.296743695665404,5.296743695665404,9.538951571659688e-41,,,0.16529550265130935,4.0,0.028190987371525048,0.06823038949436344,6.950201682106802e-49,True,True,True,True,True,True,True,True,True,False,
turnover_roc_20d,negative,-0.0589646979797147,0.0589646979797147,-5.2256457681286905,5.2256457681286905,9.290618778413433e-40,,,0.23032884098283096,3.0,0.004824210074877455,0.02494597445684754,6.68524318286306e-07,True,True,True,True,True,True,True,True,True,False,
hl_range_mean_5d,negative,-0.03898627378473397,0.03898627378473397,-3.6106865247922055,3.6106865247922055,2.4750862463283584e-20,,,0.7556605264710983,20.0,0.002776748031652995,0.01643107194552107,0.003089395787688856,True,True,True,True,True,True,True,True,True,False,
turnover_mean_5d,negative,-0.03332970688192218,0.03332970688192218,-3.235655737182157,3.235655737182157,1.0392160489326339e-16,,,0.3569699312165675,2.0,0.015474685803127105,0.03577342859489696,9.660821731972297e-14,True,True,True,True,True,True,True,True,True,False,
turnover_std_5d,negative,-0.026338239268335388,0.026338239268335388,-2.6716503683592094,2.6716503683592094,6.178536187988058e-12,,,0.8977077791208953,3.0,0.008039419722412976,0.03145254568732481,1.0163762315419257e-10,True,True,False,True,True,False,True,False,True,False,MaxCorr>0.8
price_to_sma_60d,negative,-0.022075247632667386,0.022075247632667386,-1.8191747844994586,1.8191747844994586,2.6302418588256744e-06,,,0.9454721072165833,20.0,0.04496763444373177,0.053860653886192655,1.3112965936952152e-30,True,True,False,True,True,False,True,False,True,False,MaxCorr>0.8
garman_klass_vol_20d,negative,-0.02044279562532003,0.02044279562532003,-2.065812140415219,2.065812140415219,9.75456132315401e-08,,,0.9628500978997444,20.0,0.0072375569628391236,0.017283495021135964,0.001552846022311947,True,True,False,True,True,False,True,False,True,False,MaxCorr>0.8
hl_range_mean_20d,negative,-0.019591744431299518,0.019591744431299518,-1.982448528045082,1.982448528045082,3.0913228293362034e-07,,,0.970100239285297,20.0,0.004340877274650023,0.015543206517448671,0.006101742100791619,False,True,False,True,True,False,True,False,True,False,MaxCorr>0.8
parkinson_vol_20d,negative,-0.018790507326970962,0.018790507326970962,-1.8938012668319515,1.8938012668319515,1.0053292445812507e-06,,,0.05055915442972715,13.0,0.00835580331741891,0.01560717091299868,0.005817336676354726,False,True,False,True,True,True,True,True,True,False,
roc_60d,negative,-0.01876140745146029,0.01876140745146029,-1.8920024841356857,1.8920024841356857,1.0367257482293488e-06,,,0.7513260857526147,20.0,0.15218451333850055,0.11213954371814805,1.631255640349301e-131,False,True,False,True,True,True,True,True,True,False,
price_to_sma_10d,negative,-0.018435213285017675,0.018435213285017675,-1.6156732604767379,1.6156732604767379,2.962211034724951e-05,,,0.7694528929037063,20.0,0.04511619888642377,0.04424269508277599,8.581389269275156e-21,False,True,False,True,True,True,True,True,True,False,
rank_momentum_20d,negative,-0.018214306710282114,0.018214306710282114,-1.6791072469112593,1.6791072469112593,1.4285256835286074e-05,,,0.8157943322132937,9.0,0.2006610204943818,0.1467722781242854,1.9033578507016252e-225,False,True,False,True,True,False,True,False,True,False,MaxCorr>0.8
vwap_dev_20d,negative,-0.016671744611422155,0.016671744611422155,-1.5129781226151169,1.5129781226151169,9.148448531770587e-05,,,0.8734112134867462,20.0,0.11049917888028955,0.08771816726984663,1.4687076178479416e-80,False,True,False,True,True,False,True,False,True,False,MaxCorr>0.8
amihud_illiq_20d,positive,0.01633019055014477,0.01633019055014477,1.7359969440104002,1.7359969440104002,7.27099454721737e-06,,,0.5668684279880366,20.0,0.02885133562493553,0.03238541875190076,2.445745455345931e-11,False,True,False,True,True,True,True,True,True,False,
price_to_sma_20d,negative,-0.016290091813116844,0.016290091813116844,-1.516883351910334,1.516883351910334,8.774952167711873e-05,,,0.9134615040198016,20.0,0.06823774304721024,0.05775754760060181,3.863973566487585e-35,False,True,False,True,True,False,True,False,True,False,MaxCorr>0.8
roc_10d,negative,-0.013876896282995217,0.013876896282995217,-1.2366468045399985,1.2366468045399985,0.0013742002443001132,,,0.7729636238605646,20.0,0.3695881624652988,0.0997369174825608,4.429581930723584e-104,False,True,False,True,True,True,True,True,False,False,
realized_vol_60d,positive,0.013811755294794253,0.013811755294794253,1.4839277872673398,1.4839277872673398,0.000124946331691197,,,0.14318074341733025,20.0,0.4004703765037063,0.10506492104398402,1.8564365490274e-115,False,True,False,True,True,True,True,True,False,False,
roc_5d,negative,-0.012984641208477976,0.012984641208477976,-1.2426078996765517,1.2426078996765517,0.0013026550711241012,,,0.0,20.0,0.06389646451020924,0.06987660813270391,2.973869377493447e-51,False,True,False,True,True,True,True,True,True,False,
