因子名称,IC方向,IC均值,|IC|,ICIR年化,|ICIR|,IC_P值,Spread均值,单调性Tau,最大相关性,IC半衰期,PSI,KS统计量,KS_P值,严格通过IC,严格通过ICIR,严格通过,探索通过IC,探索通过ICIR,探索通过,通过Spread,通过相关性,通过PSI,通过KS,失败原因
turnover_roc_5d,negative,-0.04137291566919471,0.04137291566919471,-4.264383411302123,4.264383411302123,1.7985982167432203e-27,,,0.16529550265130935,15.0,0.3370364976710413,0.1566426020847267,6.374238810157575e-257,True,True,True,True,True,True,True,True,False,False,
turnover_roc_20d,negative,-0.0339950915141614,0.0339950915141614,-3.373578920586494,3.373578920586494,5.311815604429227e-18,,,0.23032884098283096,5.0,0.18540802418261948,0.11700317019458528,3.5384012217245827e-143,True,True,True,True,True,True,True,True,True,False,
turnover_mean_5d,negative,-0.02523909377508179,0.02523909377508179,-2.767893092646493,2.767893092646493,1.0828893278140863e-12,,,0.3569699312165675,20.0,0.39734745581765046,0.15567606336933154,9.485930748275992e-254,True,True,True,True,True,True,True,True,False,False,
turnover_std_5d,negative,-0.022729750291128302,0.022729750291128302,-2.518724600284246,2.518724600284246,8.761150871424281e-11,,,0.8977077791208953,8.0,0.2949111604272579,0.11666412950000649,2.3199991499178784e-142,True,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
hl_range_mean_5d,negative,-0.019066679929445815,0.019066679929445815,-2.0872715490351754,2.0872715490351754,7.198361521542358e-08,,,0.7556605264710983,11.0,0.0881937962209048,0.08033884749463993,1.240210332412086e-67,False,True,False,True,True,True,True,True,True,False,
rev_20d,positive,0.01530876935876699,0.01530876935876699,1.5539597613676248,1.5539597613676248,5.879324720864242e-05,,,0.8708280990550027,20.0,0.8317783231978483,0.19608442028185302,0.0,False,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
mom_frog_20d,negative,-0.013817742660280064,0.013817742660280064,-1.5232815073519776,1.5232815073519776,8.194023305684114e-05,,,0.8459416030365352,6.0,0.9890940567935718,0.19742395283305136,0.0,False,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
roc_60d,negative,-0.013695158275682103,0.013695158275682103,-1.4421703692424392,1.4421703692424392,0.0001924615250952391,,,0.7513260857526147,20.0,0.14738543564702988,0.08707570717913671,2.2123746885842255e-79,False,True,False,True,True,True,True,True,True,False,
rank_momentum_20d,negative,-0.013327968554381396,0.013327968554381396,-1.477198662641992,1.477198662641992,0.00013344076584731197,,,0.8157943322132937,6.0,0.37691223913404115,0.14722962405818552,7.38299130638977e-227,False,True,False,True,True,False,True,False,False,False,MaxCorr>0.8
price_to_sma_20d,negative,-0.011383623608621496,0.011383623608621496,-1.2370966766289324,1.2370966766289324,0.001368676864733335,,,0.9134615040198016,20.0,0.05469522984868406,0.0630406333404108,8.74571556994575e-42,False,True,False,True,True,False,True,False,True,False,MaxCorr>0.8
