bucket,n_obs,mean_y_true,std_y_true,mean_y_pred,std_y_pred,min_y_true,max_y_true,model
1,26,0.005390647709576314,0.0255278836489089,-0.012645993218933912,0.0022177034253530697,-0.0301036643695214,0.0801747359889389,Ridge
2,25,0.004584512117200967,0.02412978295264304,-0.009522753139150261,0.00040715082538561674,-0.0288791986388579,0.0923968184380284,Ridge
3,26,0.019381616538795006,0.06377500409716325,-0.007942840380632612,0.0006128977862545802,-0.0399499924315899,0.1985510455882818,Ridge
4,25,0.007286326948648795,0.0193437829881234,-0.005797351588407131,0.0007203412512254712,-0.033277353528312,0.0398780174327576,Ridge
5,26,-0.0036257937255908235,0.023995340301577673,0.001794207370575865,0.00881040480197851,-0.0484413356209581,0.0448679359946795,Ridge
1,26,0.0023125750705381342,0.02969976162129094,-0.007561870656242956,0.0016722619366516913,-0.0301036643695214,0.0923968184380284,RandomForest
2,25,-0.004782626247168791,0.02083616014405311,-0.003850535873960853,0.001265271329060229,-0.0375581369472817,0.0398780174327576,RandomForest
3,26,0.001524677821357331,0.018320342152061585,0.0007190085824357421,0.0009706853527594296,-0.033277353528312,0.0293699641256633,RandomForest
4,25,0.02519613213976638,0.06275525460619796,0.0036116702298447036,0.0008284668228689121,-0.0399499924315899,0.1985510455882818,RandomForest
5,26,0.009095114912858285,0.023550685513168513,0.009814451754672203,0.0052829339868591734,-0.0484413356209581,0.0559705481465643,RandomForest
1,26,0.026278972007877023,0.061864491351385865,-0.008939178585124614,0.0014956833929696885,-0.033277353528312,0.1985510455882818,LightGBM
2,25,-0.0022683219806694205,0.023292450662153453,-0.005624803841390426,0.0006958131624310911,-0.0399499924315899,0.0606201509193325,LightGBM
3,26,-0.0001368944607794078,0.02043035620504991,-0.0036474912803199982,0.0005431307926808389,-0.0307669393015108,0.0559705481465643,LightGBM
4,25,0.009807381334618316,0.02466663013235051,-0.001960048916925478,0.0005923815933377702,-0.0275575427437891,0.0801747359889389,LightGBM
5,26,-0.0008304342244124334,0.02348862812989856,0.0031505224065104024,0.004921870560282753,-0.0484413356209581,0.0448679359946795,LightGBM
