date,Q1,Q2,Q3,Q4,Q5
2018-01-02,0.0069839513423627375,0.02458512792307288,0.013659634084379388,0.03340153162755292,0.03812867022841978
2018-01-03,0.015095819200832847,0.0005495597240413914,0.04318452362366633,-0.0016085282588247057,0.004153048934585221
2018-01-04,0.01289747755157078,0.0075145080452482405,0.05193932453890639,0.026637623143746497,-0.010753122890335629
2018-01-05,-0.009849498903283321,0.015246370588775125,-0.013715424052192091,0.02037703433002234,-0.002986757355234515
2018-01-08,-0.039980165587989405,-0.004616416966491161,-0.02976571192182122,-0.02230780045492155,-0.038647406662950815
2018-01-09,-0.024551646892125245,-0.025721970579310232,-0.012037043498326318,0.007408226047624652,-0.012551393005691719
2018-01-10,0.01454023762897827,-0.020261219015817233,-0.0037008022550840238,-0.01499945472786642,0.00509828476837193
2018-01-11,-0.016661684287024463,-0.00577084012895238,0.004623001818440701,-0.0014577356208837489,0.009553731770009224
2018-01-12,0.005455618055852944,-0.007489873578423646,-0.010334054989138388,0.003883366958326051,-0.038348298949089074
2018-01-15,0.01638454408805918,0.01793024583528627,0.01924778387973341,0.05451901399347955,-0.01507852491166381
2018-01-16,-0.0024516870353823916,0.013596439204507451,-0.00659047394824711,0.027065480509961413,0.023431627247352663
2018-01-17,0.013377962638057725,-0.0014820839069955097,0.014236884446706661,0.026402037308740467,0.04324824964226673
2018-01-18,-0.0030469157662242757,-0.012259821106676385,0.010740038709336232,0.04261175526884115,0.002702203476073431
2018-01-19,0.02253650480638625,0.004392581848320587,0.02541090730406451,0.03670676054910978,0.015406312872396064
2018-01-22,-0.0066717977163836305,-0.009417820258736529,-0.026023529823273304,-0.011255431361846242,-0.019775039323975813
2018-01-23,-0.040539141293361496,-0.020590104190501588,-0.0504403997698066,-0.005690855790172589,-0.03607576946260438
2018-01-24,-0.07375085189237232,-0.032906101394294285,-0.03883048227649001,-0.010071070344067607,-0.0754835538026426
2018-01-25,-0.11850510828508079,-0.06524423581410603,-0.05845642908015596,-0.08765469444019237,-0.13271951267275905
2018-01-26,-0.11288773055831007,-0.11025452429294036,-0.07515934486314234,-0.10566775948047032,-0.1388366754326173
2018-01-29,-0.10673102763205947,-0.06841087685878278,-0.09988344863525003,-0.054669899206210584,-0.10912284673951088
2018-01-30,-0.12939583470508462,-0.09140148728139151,-0.06722368789781132,-0.09144020217472584,-0.11578159991671165
2018-01-31,-0.11338841481482873,-0.11696329768969009,-0.060798335367367846,-0.1382573503148329,-0.1279125344303646
2018-02-01,-0.10348848142438355,-0.09690668197712443,-0.08936358865753177,-0.019149733994273128,-0.08891962877634077
2018-02-02,-0.09479929799879896,-0.11392339061509707,-0.09228780330501148,-0.04958869183986879,-0.07356970878808074
2018-02-05,-0.04910062641521869,-0.06389222478074798,-0.06232883295504267,-0.03884594373633009,-0.06048798313693329
2018-02-06,-0.020469732933776102,-0.05174156132541141,-0.0499314504089173,-0.0199015788209937,-0.037498034911244274
2018-02-07,0.022113738389991783,0.022731966943848454,-0.018173659360259428,0.009417097401243349,-0.005795785867521511
2018-02-08,0.04245046256737101,0.04196018480432092,0.02990883174126374,0.012573107673278556,0.03609800280240355
2018-02-09,0.08358723429365295,0.06773341144031993,0.061670190149076015,0.03655952091690773,0.06560787530838813
2018-02-12,0.03525264034339273,0.06218766844234452,0.04730794345335484,0.038220591765500925,0.06130770182118714
2018-02-13,0.02821155497908101,0.02169881457362377,0.032044240337909015,0.04053849496690673,0.03560088725284132
2018-02-14,0.015103028204724058,0.02149438751745463,0.004279897102953211,0.06939903662693785,0.025527515099424414
2018-02-22,0.009070330663032342,0.013646569376456379,0.032687178096794146,0.04842020067589962,0.01090525043430221
2018-02-23,0.01587901083734203,0.005427032424665991,0.007352747387626109,0.04275894311974604,0.04147336198802318
2018-02-26,0.0039862875822102494,-0.01933034602475622,0.015081699253189267,0.028002221156388445,0.01236836792255383
2018-02-27,0.07624142237644858,0.06173624663851931,0.037704608707737855,0.03883118081516962,0.09285903538720522
2018-02-28,0.03643595323201817,0.13142827779563276,0.028164942536584223,0.007250752898813099,0.10592186681547643
2018-03-01,0.13538168617366178,0.010920535413872409,0.011187630460346445,0.05823899626815129,0.11833336890073688
2018-03-02,0.09905435357554983,0.03622963860236317,0.028569180759397916,0.035581261278014385,0.08012510769825915
2018-03-05,0.042767645421808775,0.04997700913663875,0.030704333530154955,0.036290710353569296,0.13299544073028885
2018-03-06,0.022925891440873647,0.03457664173941636,0.015612252741762225,0.019792978589663446,0.005531460549493258
2018-03-07,-0.028449405808930572,-0.0010639958622369328,0.011462139230706127,0.011295386662512936,-0.028529788706551082
2018-03-08,-0.03659401816497204,-0.011112650499409618,-0.00291526248475701,-0.017256431898664264,-0.02081668466363898
2018-03-09,-0.024177109936221228,-0.011674549406809676,-0.023721022509574623,-0.02329810172768776,-0.04547710420272369
2018-03-12,-0.043686672342198654,-0.010205460717552323,-0.0412823948602327,-0.043815807284892844,-0.06475018574703464
2018-03-13,0.001232205011120896,-0.011615439311375495,-0.028806225353806406,-0.022296135628666724,-0.03780740175513442
2018-03-14,-0.008361519401019549,0.01571957004903672,-0.013550590185367195,-0.009797580306901338,-0.0015172991090280502
2018-03-15,-0.032664162186203785,-0.04708319625957877,-0.05258705893995711,-0.010829478639277733,-0.03955662297050297
2018-03-16,-0.05136249957063539,-0.10687678241772888,-0.07435935036590799,-0.09335575943692609,-0.0606206983234438
2018-03-19,0.019327941623122943,-0.06346581173458989,-0.03281958772727589,-0.05128161757619235,-0.038951930183086195
2018-03-20,-0.01736187152664251,-0.04420698270398652,-0.03712271818571623,-0.06115526688263876,-0.04859938072354375
2018-03-21,-0.012372134292472386,-0.048373242200633215,-0.036094556430984026,-0.04668605301188695,-0.03297036080423826
2018-03-22,0.055052669332953,-0.007139030032642213,0.01254831358589567,0.012416837277734627,0.011997315601938632
2018-03-23,0.0929948777476208,0.05254085366647447,0.05560771703702987,0.06432178503088751,0.06539194443899657
2018-03-26,0.01692766628628009,0.014232017022478033,0.025872928516068133,0.024008855988868275,-0.0010251006871844492
2018-03-27,0.0029160894950951838,0.019867401855003672,0.028560699671880067,0.0077412015507437315,0.006787573146606843
2018-03-28,-0.010209691533203821,0.005244883178314105,0.008895306731119315,0.0011797674145933579,-0.01190982659899012
2018-03-29,-0.027599898638308445,-0.008835717030175669,-0.003028815695850534,0.01369088420943676,-0.03937449037037201
2018-03-30,-0.03623332624772148,-0.010583860425007363,0.005396027842750187,0.0025293552029247274,-0.00876928727698481
2018-04-02,-0.005552541104712441,0.017761261530118422,0.003140339757482402,-0.0030141275286052205,0.0125759534289301
2018-04-03,-0.013980266404046496,0.016366002476098127,-0.017660143976311327,0.007070838451861863,-0.0002491387637808401
2018-04-04,0.0009786438515363288,-0.016781529869688103,-0.00043901903713267076,-0.01113053249130072,-0.03580530401802179
