因子名称,因子族,IC均值,ICIR年化,PSI,IC半衰期,最大相关性,添加日期,状态
turnover_roc_5d,量价微结构,-0.06444675707345619,-5.296743695665404,0.028190987371525048,4.0,0.16529550265130935,2025-12-02T09:54:07.609276,active
turnover_roc_20d,量价微结构,-0.0589646979797147,-5.2256457681286905,0.004824210074877455,3.0,0.23032884098283096,2025-12-02T09:54:07.624125,active
hl_range_mean_5d,风格/质量,-0.03898627378473397,-3.6106865247922055,0.002776748031652995,20.0,0.7556605264710983,2025-12-02T09:54:07.634574,active
turnover_mean_5d,量价微结构,-0.03332970688192218,-3.235655737182157,0.015474685803127105,2.0,0.3569699312165675,2025-12-02T09:54:07.607730,active
