date,ticker,rolling_median_30d,kurtosis_20d,macd_hist,bb_upper,skewness_20d,return_20d,rolling_std_30d,macd,pct_change,volume_ma_20,turnover,volume_roc_10d,amount,rolling_std_10d,volume_ma_5,rolling_std_5d,return_10d,rsi_14,price_range,open_close_range,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2018-02-26 00:00:00+00:00,000011,1.7451403887688988,0.14865221479053206,-0.6159127503708172,1.0290596493305475,-0.9413663492161584,-0.7783483392856902,1.986467539969411,-1.742989620890316,0.37064492216456635,-0.3581298394110378,0.38056680161943324,0.4446706492504163,0.0027897461707625504,0.8834913062260633,-0.48564634569035703,0.665037602041841,-0.3594754366695135,-0.2212373094619053,1.136363636363637,0.5652173913043601,-7202500.0,-1.155,-8029299.999999999,-1.1906999999999999,530000000.0,-0.1672,-0.0121,3.43,0.2,1.98,3.53,-0.013600000000000001,-0.0034999999999999996,-0.0034999999999999996,1718.34,21.29,1.31,0.62,0.62,2.25,0.6922,6.907936052249117,,-0.0034999999999999996,3.248852342909868,-291.75964955781467,1697.05,0.0015432098765431768
2018-02-27 00:00:00+00:00,000011,1.7157667386609077,0.12178244009758656,-0.07404554315706519,1.1030814568671328,-0.9660762375768422,-0.717976729818866,1.9753970722689465,-1.5707347729062175,-0.5248332097850259,-0.3625161287928179,0.056680161943319825,0.6818793527178086,-0.18808250104276303,0.5255034818712516,-0.4542225876397521,0.6723068245555139,-0.2926961024166411,-0.09130458367562762,0.015151515151512215,-0.5217391304347803,-7202500.0,-1.155,-8029299.999999999,-1.1906999999999999,530000000.0,-0.1672,-0.0121,3.43,0.2,1.98,3.53,-0.013600000000000001,-0.0034999999999999996,-0.0034999999999999996,1718.34,21.29,1.31,0.62,0.62,2.25,0.6922,6.907936052249117,,-0.0034999999999999996,3.248852342909868,-291.75964955781467,1697.05,0.10604870384917514
2018-02-28 00:00:00+00:00,000011,1.622462203023758,0.058378297199285695,0.18911489708409468,1.108436327299208,-0.8556444703075988,-0.8331829076475695,1.9800310344993455,-1.4652019426618537,0.13936249073387694,-0.39494418788203434,0.04048582995951414,-0.3827369556361295,-0.20270938222665263,0.5791368809093993,-0.4568052297697064,0.4335913568812513,0.21312098444067346,-0.24445361994469988,-0.2272727272727263,0.34782608695653044,-7202500.0,-1.155,-8029299.999999999,-1.1906999999999999,530000000.0,-0.1672,-0.0121,3.43,0.2,1.98,3.53,-0.013600000000000001,-0.0034999999999999996,-0.0034999999999999996,1718.34,21.29,1.31,0.62,0.62,2.25,0.6922,6.907936052249117,,-0.0034999999999999996,3.248852342909868,-291.75964955781467,1697.05,0.10476935105551226
2018-03-01 00:00:00+00:00,000011,1.4479481641468679,0.068400631348577,0.423632907224699,1.0679245253831793,-0.9094927625985366,-0.7693206218223166,1.9903439851475522,-1.350272017761021,0.0,-0.41750309586224565,-0.051282051282051266,-0.3122994118496731,-0.25194276988383063,0.6548139083916557,-0.42902167517068496,-0.18793240745764203,0.41919871798469,-0.191499344182895,0.07575757575757185,-0.1739130434782575,-7202500.0,-1.155,-8029299.999999999,-1.1906999999999999,530000000.0,-0.1672,-0.0121,3.43,0.2,1.98,3.53,-0.013600000000000001,-0.0034999999999999996,-0.0034999999999999996,1718.34,21.29,1.31,0.62,0.62,2.25,0.6922,6.907936052249117,,-0.0034999999999999996,3.248852342909868,-291.75964955781467,1697.05,0.0891321344800626
2018-03-02 00:00:00+00:00,000011,1.346004319654428,0.06860575902558526,0.5934896514399629,1.0400588769829742,-0.9120372621889881,-0.7661097681562189,1.9895490707147991,-1.2422980256577252,0.9518161601186064,-0.44237391088122907,1.087719298245614,0.11079062885637889,0.4450902984119489,0.7138000160709228,-0.43037264527361985,-0.5490361231159637,0.2988323808231765,-0.19149934418289544,-0.1969696969696965,-0.608695652173909,-7202500.0,-1.155,-8029299.999999999,-1.1906999999999999,530000000.0,-0.1672,-0.0121,3.43,0.2,1.98,3.53,-0.013600000000000001,-0.0034999999999999996,-0.0034999999999999996,1718.34,21.29,1.31,0.62,0.62,2.25,0.6922,6.907936052249117,,-0.0034999999999999996,3.248852342909868,-291.75964955781467,1697.05,0.0363636363636364
2018-03-05 00:00:00+00:00,000011,1.3235421166306693,-0.03979061153922337,0.9392517479468134,1.132493102128418,-0.8460383869209728,-0.6536333039397508,1.9387173818628176,-1.052112305856968,-0.4951816160118606,-0.47949803114295153,0.3049932523616734,0.5072754122660649,-0.03144656453222282,0.3907386122772966,-0.3635238072207579,-0.052487128864157205,1.534570401219078,0.17746329828574275,2.106060606060618,1.6086956521739206,-7202500.0,-1.155,-8029299.999999999,-1.1906999999999999,530000000.0,-0.1672,-0.0121,3.43,0.2,1.98,3.53,-0.013600000000000001,-0.0034999999999999996,-0.0034999999999999996,1718.34,21.29,1.31,0.62,0.62,2.25,0.6922,6.907936052249117,,-0.0034999999999999996,3.248852342909868,-291.75964955781467,1697.05,0.05778120184899846
2018-03-06 00:00:00+00:00,000011,1.2803455723542116,0.12898524586047394,1.0260634139463776,1.1350578614367786,-0.9407789843817795,-0.5670682546914468,1.9248790437432968,-0.9362732016186999,2.511489992587102,-0.5152920131083942,3.290148448043185,0.3535709427710373,1.834509125997443,0.11460746258403835,-0.3717199074633844,-0.043407150159805785,0.9352107815362648,-0.0013451950944192213,0.2272727272727263,-0.6521739130434734,-7202500.0,-1.155,-8029299.999999999,-1.1906999999999999,530000000.0,-0.1672,-0.0121,3.43,0.2,1.98,3.53,-0.013600000000000001,-0.0034999999999999996,-0.0034999999999999996,1718.34,21.29,1.31,0.62,0.62,2.25,0.6922,6.907936052249117,,-0.0034999999999999996,3.248852342909868,-291.75964955781467,1697.05,-0.031960227272727224
2018-03-07 00:00:00+00:00,000011,1.2803455723542116,0.2642741685184797,1.67404653161231,1.4400911952159106,-0.20268118947472544,-0.07584233821718997,1.7727733952288796,-0.5938140784451411,0.1067457375833951,-0.41923900551378945,2.4804318488529016,4.291353069291956,1.3922791346229249,0.7466542615278199,-0.03245230092133593,1.5793748293722514,1.5467341727328185,0.7756813845485695,4.045454545454569,4.04347826086958,-7202500.0,-1.155,-8029299.999999999,-1.1906999999999999,530000000.0,-0.1672,-0.0121,3.43,0.2,1.98,3.53,-0.013600000000000001,-0.0034999999999999996,-0.0034999999999999996,1718.34,21.29,1.31,0.62,0.62,2.25,0.6922,6.907936052249117,,-0.0034999999999999996,3.248852342909868,-291.75964955781467,1697.05,-0.05732484076433124
2018-03-08 00:00:00+00:00,000011,1.2803455723542116,0.4623770123447738,2.0545733301546965,1.5884902097062783,-0.33753112088030474,0.13361126141028085,1.6546398303299636,-0.30535658429022594,-0.42105263157894735,-0.3624785207159886,1.330634278002699,5.718649068736233,0.6473917282090762,0.9980709784079981,0.22397730112285277,2.0082841437672005,1.5863009863215467,0.8042863460971973,1.9242424242424336,0.34782608695653044,-7202500.0,-1.155,-8029299.999999999,-1.1906999999999999,530000000.0,-0.1672,-0.0121,3.43,0.2,1.98,3.53,-0.013600000000000001,-0.0034999999999999996,-0.0034999999999999996,1718.34,21.29,1.31,0.62,0.62,2.25,0.6922,6.907936052249117,,-0.0034999999999999996,3.248852342909868,-291.75964955781467,1697.05,-0.030150753768844216
2018-03-09 00:00:00+00:00,000011,1.2803455723542116,0.7051043788605497,2.1042206941841073,1.6096492549522157,-0.4023638452088026,0.27440115118372355,1.5291422342763188,-0.11669776597195447,-0.530763528539659,-0.34804790576207695,1.719298245614035,2.1718146020833706,0.8607959647608062,1.0523614168193272,0.3690276400744805,1.5686297573634849,1.1548740659071488,0.6290909572238711,0.8030303030303035,-0.30434782608695066,-7202500.0,-1.155,-8029299.999999999,-1.1906999999999999,530000000.0,-0.1672,-0.0121,3.43,0.2,1.98,3.53,-0.013600000000000001,-0.0034999999999999996,-0.0034999999999999996,1718.34,21.29,1.31,0.62,0.62,2.25,0.6922,6.907936052249117,,-0.0034999999999999996,3.248852342909868,-291.75964955781467,1697.05,-0.02192982456140343
