date,ticker,bb_upper,rolling_std_30d,atr_14,volume_ma_20,macd,rolling_std_10d,macd_hist,return_20d,kurtosis_20d,rolling_std_20d,volume_ma_5,pct_change,skewness_20d,rolling_std_5d,volume_roc_5d,volume_change,volume,volume_ratio_5d,price_range,open_close_range,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2018-02-26 00:00:00+00:00,000002,1.0702704598206476,2.943836782195993,3.4731648753463618,-0.3527228614139774,-0.9219057238244253,2.7039938824464462,-2.679263522010313,-0.9307148660076433,-0.14930527507433572,4.2840907948404565,-0.8387953223538367,-0.6532180595581173,-1.2219489493712077,1.9826699529550698,-0.7410142221716113,0.5994014112314684,-0.26093159407432054,0.3016000350631889,2.48913043478262,1.611111111111109,,0.2054,,0.2143,,0.4706,0.748,9.1,0.73,4.79,3.89,0.0965,0.08130000000000001,0.0823,1284.8,5.78,1.2,0.3,0.3,6.1,0.8101,0.4364631609367596,,0.08130000000000001,5.265901706678744,5.200527806781007,1279.02,-0.07064641469445426
2018-02-27 00:00:00+00:00,000002,1.0671779196624678,2.994191617464177,3.5013460676489814,-0.333706512875013,-0.8877802359339199,1.7614415894181716,-2.056036701006723,-1.0721357677730003,-0.20236504652936033,4.169802710079411,-0.769461585880004,-1.6714697406340056,-1.113878339490776,1.2107411387576468,0.5541679374400854,0.8724317925918581,-0.3396164296210042,1.2100791102190502,2.967391304347845,1.8055555555555545,,0.2054,,0.2143,,0.4706,0.748,9.1,0.73,4.79,3.89,0.0965,0.08130000000000001,0.0823,1284.8,5.78,1.2,0.3,0.3,6.1,0.8101,0.4364631609367596,,0.08130000000000001,5.265901706678744,5.200527806781007,1279.02,0.02848686644469107
2018-02-28 00:00:00+00:00,000002,1.0590990185854745,3.107614246261806,3.447251048273445,-0.35384729133041976,-0.9984123069637458,1.0397928260552847,-1.9338307499971716,-1.6061619155821556,-0.2910956588094573,3.8870213703249052,-0.7423903538209509,-0.2190201729106628,-0.9755872370465598,1.0656457159821053,0.2090700675193934,-0.08137833095868274,-0.35485111868917907,0.8752179145953718,2.1847826086956608,2.9444444444444358,,0.2054,,0.2143,,0.4706,0.748,9.1,0.73,4.79,3.89,0.0965,0.08130000000000001,0.0823,1284.8,5.78,1.2,0.3,0.3,6.1,0.8101,0.4364631609367596,,0.08130000000000001,5.265901706678744,5.200527806781007,1279.02,0.007454342154304989
2018-03-01 00:00:00+00:00,000002,1.0743031626373234,3.2237952664485037,3.3435111126060866,-0.35989065907954115,-1.0951519885417602,1.0517095881261647,-1.7999452149404902,-1.6732775642422517,-0.27815427590507624,3.464724303600291,-0.6225804727951842,-0.34966378482228627,-0.9300831268149827,1.3872462851343803,1.4076196940735284,0.02026367852491303,-0.7336158936113191,0.4740449679604587,1.663043478260879,-0.13888888888890094,,0.2054,,0.2143,,0.4706,0.748,9.1,0.73,4.79,3.89,0.0965,0.08130000000000001,0.0823,1284.8,5.78,1.2,0.3,0.3,6.1,0.8101,0.4364631609367596,,0.08130000000000001,5.265901706678744,5.200527806781007,1279.02,0.046345139412208004
2018-03-02 00:00:00+00:00,000002,1.0779302885663977,3.3426325164959705,3.175836044013917,-0.40412508832679844,-1.19040867847918,1.0846773824560092,-1.6889809486717113,-1.5820181224788408,-0.22447860449921214,3.0980706290932174,-0.6050172746572763,-0.12295869356388087,-1.014419044554961,1.8449358025791978,0.20452415451914863,-0.620107695438024,-0.7641730664374763,-0.5736960183680162,0.9673913043478315,-9.868649107779185e-15,,0.2054,,0.2143,,0.4706,0.748,9.1,0.73,4.79,3.89,0.0965,0.08130000000000001,0.0823,1284.8,5.78,1.2,0.3,0.3,6.1,0.8101,0.4364631609367596,,0.08130000000000001,5.265901706678744,5.200527806781007,1279.02,0.04468004543733433
2018-03-05 00:00:00+00:00,000002,0.942364796547213,3.4682705373779585,3.0535807949399834,-0.41649140720610567,-1.264744501907072,0.763520033055853,-1.545814436893716,-1.5834025604300463,-0.22445083764703502,2.6231930878820453,-0.6371821521707683,-0.08069164265129683,-1.0133625559979083,1.1220368832238876,-0.23794931488940976,-0.033305882218994255,-0.6474615782712764,-0.5993395945722496,1.2934782608695692,0.11111111111110891,,0.2054,,0.2143,,0.4706,0.748,9.1,0.73,4.79,3.89,0.0965,0.08130000000000001,0.0823,1284.8,5.78,1.2,0.3,0.3,6.1,0.8101,0.4364631609367596,,0.08130000000000001,5.265901706678744,5.200527806781007,1279.02,0.016723679209426124
2018-03-06 00:00:00+00:00,000002,0.765252266586115,3.5849588199649176,2.9088445700128354,-0.44832152145533055,-1.318340932636754,0.6809720465515164,-1.3773579679548271,-1.3457104146837044,-0.011114432564024865,2.3105331467818018,-0.7243965599256624,2.2401536983669548,-1.2168627569087747,-0.20658546660592073,-0.4804224390943202,0.3649781332354283,-0.16770056465847866,-0.08963419724749783,0.9891304347826175,0.19444444444444553,,0.2054,,0.2143,,0.4706,0.748,9.1,0.73,4.79,3.89,0.0965,0.08130000000000001,0.0823,1284.8,5.78,1.2,0.3,0.3,6.1,0.8101,0.4364631609367596,,0.08130000000000001,5.265901706678744,5.200527806781007,1279.02,-0.0428057553956835
2018-03-07 00:00:00+00:00,000002,0.8665122495923248,3.4796018550674477,2.912677833004843,-0.49471449886522034,-1.1695105339176415,0.6961177493908182,-0.7162748520469284,-0.5416710927400061,0.2998132212798532,2.1873162724916955,-0.6856064505955229,-0.9990393852065322,-1.1540895145197738,0.6738120503370437,0.2622342072659004,1.1779180035312162,-0.6136398292162245,1.1825990991265352,2.33695652173914,3.0,,0.2054,,0.2143,,0.4706,0.748,9.1,0.73,4.79,3.89,0.0965,0.08130000000000001,0.0823,1284.8,5.78,1.2,0.3,0.3,6.1,0.8101,0.4364631609367596,,0.08130000000000001,5.265901706678744,5.200527806781007,1279.02,-0.007399186089530257
2018-03-08 00:00:00+00:00,000002,0.8751216131206373,3.4089425549928296,2.78692424639998,-0.5670425210594905,-1.1275419184094488,0.7071115057302667,-0.46525331612954207,-0.9829245823344887,0.3612025974913659,1.8703534080626272,-0.7439980503291372,1.1181556195965419,-1.017164226813388,0.7051527382034581,-0.34140128374748846,-0.6289136398302912,-0.699054820852625,0.05940008638462614,1.0760869565217466,0.8333333333333267,,0.2054,,0.2143,,0.4706,0.748,9.1,0.73,4.79,3.89,0.0965,0.08130000000000001,0.0823,1284.8,5.78,1.2,0.3,0.3,6.1,0.8101,0.4364631609367596,,0.08130000000000001,5.265901706678744,5.200527806781007,1279.02,-0.0352898811667267
2018-03-09 00:00:00+00:00,000002,0.936485959834537,3.2855698751719493,2.6188737478514046,-0.6073640589609024,-0.9935446811502782,0.6983903077667529,-0.025157950092631387,-0.7952917414022017,0.23323152837786607,1.4613879007171933,-0.7361998881806417,-0.1844380403458213,-1.0670231605702378,0.9917776627853001,0.09563007332106947,-0.14705676006144605,-0.7589423512342085,-0.21461075057229834,0.5760869565217432,-9.868649107779185e-15,,0.2054,,0.2143,,0.4706,0.748,9.1,0.73,4.79,3.89,0.0965,0.08130000000000001,0.0823,1284.8,5.78,1.2,0.3,0.3,6.1,0.8101,0.4364631609367596,,0.08130000000000001,5.265901706678744,5.200527806781007,1279.02,-0.03008336353751353
