date,ticker,pct_change,bb_upper,return_20d,volume_ma_5,rsi_14,rolling_std_30d,macd,rolling_std_10d,return_10d,skewness_20d,volume_ma_20,amount,rolling_std_5d,kurtosis_20d,volume_ratio_5d,volume_roc_5d,volume_roc_3d,open_close_range,volume_ratio_20d,volume_roc_10d,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2018-02-26 00:00:00+00:00,000016,0.0650994575045208,0.050274802730949184,-0.678328400779003,-0.17716236487418283,-0.057104893057673474,0.9568024286414921,-0.6745395630142081,1.472418745111927,-1.2338859411237404,-1.0856493640883147,0.7386984849210186,-0.011532748153034917,0.3213222233992087,0.046327713547948284,0.23906066141254054,-0.6189624364888422,-0.18183308890234862,0.8000000000000214,-0.8533111880144578,-0.26649477826696444,-44331000.0,0.948,-122000000.0,0.8254,,0.0558,-0.0184,1.14,0.03,-0.24,-0.17,-0.0034000000000000002,-0.0159,-0.0161,101.25,41.17,0.95,0.63,0.63,4.43,0.8079000000000001,16.98894285048655,,-0.0159,5.205594973477496,9.23963258872765,60.08,-0.02150537634408604
2018-02-27 00:00:00+00:00,000016,-0.7124773960216999,0.09752495147786157,-0.8428768751067091,-0.24206666160076784,-0.03917331147950188,0.9790246604384575,-0.6311815880647467,0.2674239711468308,-1.1378449647065845,-1.0515205830543506,0.693381901281578,-0.0015149436355441775,0.49040755929705954,0.09476505543948405,0.5906314122055059,-0.34665319754680934,1.4289671971417515,-0.2999999999999858,-0.8143470450398045,-0.28715774498758956,-44331000.0,0.948,-122000000.0,0.8254,,0.0558,-0.0184,1.14,0.03,-0.24,-0.17,-0.0034000000000000002,-0.0159,-0.0161,101.25,41.17,0.95,0.63,0.63,4.43,0.8079000000000001,16.98894285048655,,-0.0159,5.205594973477496,9.23963258872765,60.08,0.03839122486288848
2018-02-28 00:00:00+00:00,000016,0.32911392405063294,0.09059545860581492,-1.3292566429777675,-0.26182141580616747,-0.21122208021063418,1.0140084390338768,-0.6392448670934691,0.15729657743473893,-0.1707172709542171,-1.1668513794264324,0.5212494668039092,-0.2144380826862454,0.21587272582343497,0.19990891598393848,0.789654289893643,-0.0848669729396887,0.9793497220017331,0.20000000000001422,-0.6861711173816503,-0.8855315003432183,-44331000.0,0.948,-122000000.0,0.8254,,0.0558,-0.0184,1.14,0.03,-0.24,-0.17,-0.0034000000000000002,-0.0159,-0.0161,101.25,41.17,0.95,0.63,0.63,4.43,0.8079000000000001,16.98894285048655,,-0.0159,5.205594973477496,9.23963258872765,60.08,0.05615942028985517
2018-03-01 00:00:00+00:00,000016,-0.2603978300180832,0.07081094323157469,-1.28052751025782,-0.24094653506587083,-0.11147989145117854,1.0402798596571274,-0.6123188983309856,0.20546102952507161,0.48486622802570967,-1.1830988571194312,0.45902748822421346,-0.1264748416514049,-0.21088086508216944,0.1899092162979751,-0.3515112329487696,0.454992721270203,-0.3851695968219197,0.10000000000000711,-0.9592144140844734,-0.8709789309951603,-44331000.0,0.948,-122000000.0,0.8254,,0.0558,-0.0184,1.14,0.03,-0.24,-0.17,-0.0034000000000000002,-0.0159,-0.0161,101.25,41.17,0.95,0.63,0.63,4.43,0.8079000000000001,16.98894285048655,,-0.0159,5.205594973477496,9.23963258872765,60.08,0.08029197080291961
2018-03-02 00:00:00+00:00,000016,-0.19891500904159137,0.0608040954375358,-1.4390536791658624,-0.21613151073548412,-0.1789956343943592,1.0607571823740178,-0.6005779244123223,0.22382939998351847,0.3159838086974382,-1.1356832625588889,0.40267170871963337,-0.30084643387718124,-0.3770930254985758,0.2244100886695772,-0.015620615897482502,0.4448206560309408,-0.18344926439823078,-0.49999999999998224,-0.7892617744395583,-0.40292769618408264,-44331000.0,0.948,-122000000.0,0.8254,,0.0558,-0.0184,1.14,0.03,-0.24,-0.17,-0.0034000000000000002,-0.0159,-0.0161,101.25,41.17,0.95,0.63,0.63,4.43,0.8079000000000001,16.98894285048655,,-0.0159,5.205594973477496,9.23963258872765,60.08,0.07339449541284393
2018-03-05 00:00:00+00:00,000016,0.0650994575045208,0.04924547359920692,-1.0758192937786422,-0.2752967068842752,-0.2313955524231175,1.0808690482961751,-0.5961687848848597,-0.14937343685768378,0.9226165231307195,-1.4017444091020859,0.22255986922122484,-0.262779253655391,-0.36576693093041834,0.9023803597538951,-0.6649459507338983,-0.5052936647849549,-0.6473273668906053,-0.5999999999999893,-0.9706800898592841,-0.8278350724304321,-44331000.0,0.948,-122000000.0,0.8254,,0.0558,-0.0184,1.14,0.03,-0.24,-0.17,-0.0034000000000000002,-0.0159,-0.0161,101.25,41.17,0.95,0.63,0.63,4.43,0.8079000000000001,16.98894285048655,,-0.0159,5.205594973477496,9.23963258872765,60.08,0.07509157509157512
2018-03-06 00:00:00+00:00,000016,1.4575045207956603,0.013470207781675523,-0.7948576569792378,-0.32862261023255296,-0.20747801639856728,1.1060960712182117,-0.578758040200815,-0.24592990829666236,0.44575976657445177,-1.639915421854065,0.16179023026871317,0.7035959548777013,-0.6007300562051755,1.3950632882042997,-0.25973116218913,-0.43649464853628245,-0.09167651240106521,-0.5999999999999893,-0.8544059141343898,-0.6417827689339792,-44331000.0,0.948,-122000000.0,0.8254,,0.0558,-0.0184,1.14,0.03,-0.24,-0.17,-0.0034000000000000002,-0.0159,-0.0161,101.25,41.17,0.95,0.63,0.63,4.43,0.8079000000000001,16.98894285048655,,-0.0159,5.205594973477496,9.23963258872765,60.08,0.03169014084507053
2018-03-07 00:00:00+00:00,000016,0.9547920433996385,0.09933409670324467,-0.7088372858341682,-0.17424102984095896,0.2832052734860135,1.1088147058900917,-0.4526793918871951,-0.2256182853611955,0.9316033852033659,-1.5256755014647454,0.1530006577085091,0.6629279033033524,0.04698658479340577,1.2440705157875738,3.3832326560419554,1.517747436212575,2.533807770558161,1.5000000000000178,1.0318167957822728,1.1155264210725802,-44331000.0,0.948,-122000000.0,0.8254,,0.0558,-0.0184,1.14,0.03,-0.24,-0.17,-0.0034000000000000002,-0.0159,-0.0161,101.25,41.17,0.95,0.63,0.63,4.43,0.8079000000000001,16.98894285048655,,-0.0159,5.205594973477496,9.23963258872765,60.08,0.0
2018-03-08 00:00:00+00:00,000016,0.5569620253164558,0.20217943463902202,-0.6681225793959903,0.007128282632128461,0.5700491177414535,1.108762608661214,-0.27579215764766707,-0.032789704247711986,1.178536178537838,-1.5061315774602912,0.12492975453338254,0.42701709360304574,0.7600086359356887,1.1914113837011457,1.8276983756682492,2.6283592487064658,4.2062574449653685,0.600000000000016,0.925223249279215,3.5186286907576614,-44331000.0,0.948,-122000000.0,0.8254,,0.0558,-0.0184,1.14,0.03,-0.24,-0.17,-0.0034000000000000002,-0.0159,-0.0161,101.25,41.17,0.95,0.63,0.63,4.43,0.8079000000000001,16.98894285048655,,-0.0159,5.205594973477496,9.23963258872765,60.08,-0.006756756756756763
2018-03-09 00:00:00+00:00,000016,-0.42676311030741415,0.290072766283891,-0.28449036810204703,0.1159550485904136,0.7304515149182325,1.0950772378962257,-0.08930768536201297,0.2543544540886551,1.1153016257248076,-1.7741117437037905,0.10430168143237219,0.11803496256885708,1.181344980261861,1.7315477859372148,0.633252766944833,1.3376639782134705,2.6395486647338022,0.40000000000001956,0.4919359527054784,1.940871936628174,-44331000.0,0.948,-122000000.0,0.8254,,0.0558,-0.0184,1.14,0.03,-0.24,-0.17,-0.0034000000000000002,-0.0159,-0.0161,101.25,41.17,0.95,0.63,0.63,4.43,0.8079000000000001,16.98894285048655,,-0.0159,5.205594973477496,9.23963258872765,60.08,0.06837606837606844
