filter,removed,remaining,ratio
1_ST_退市,0,1608,1.0
2_停牌,0,1608,1.0
4_上市龄,0,1608,1.0
5_成交量,2,1606,0.9987562189054726
6_价格,0,1606,0.9987562189054726
7_换手率,3,1603,0.9968905472636815
