date,ticker,amount,pct_change,return_20d,price_position_5d,price_position_10d,price_position_20d,rolling_std_30d,rolling_median_30d,skewness_20d,kurtosis_20d,volume_change,volume_ma_5,volume_ma_20,volume_ratio_5d,volume_ratio_20d,volume_roc_3d,volume_roc_5d,volume_roc_10d,rsi_14,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2018-03-12 00:00:00+00:00,000008,0.11159744009588847,0.3695652173913044,-0.6117556090801473,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.287829800659599,4.077235772357724,0.08392178098757959,-0.1577121710270271,1.2431581448840685,-0.6448650924275644,-0.7852579109777649,0.8222915009808032,0.7889565690138367,0.5978660291028891,-0.36160429597337296,1.4665615481835057,-1.1042626611406434,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.052489905787348544
2018-03-13 00:00:00+00:00,000008,0.892231572312489,-0.7336956521739132,-0.2861382579721844,0.08333343750001265,-0.2517482567876163,-0.4424483065540063,2.2828732467252157,4.020325203252033,-0.06338570395754135,-0.05370181874319842,-0.019868214833450575,-0.657023292428411,-0.778145945219278,0.7611622592321576,0.6266183266486799,1.0519354778556513,-0.11863023087639328,0.6446953793834476,-0.8581846463474373,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.04774897680763979
2018-03-14 00:00:00+00:00,000008,0.6264684050234772,-0.14673913043478262,-0.09266491619780563,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.242662654563206,3.971544715447154,0.17028451095201372,0.13044704117109934,1.804818838384595,-0.5646681751969831,-0.7562678534811149,2.1976857853303278,2.1923581720931886,2.494053931880681,1.9048298661307737,0.4310910632616203,-1.1038581054811667,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.04240766073871404
2018-03-15 00:00:00+00:00,000008,-0.015076552422717056,-0.8152173913043479,-0.15612373862203144,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.1779931559636565,3.9430894308943087,0.2277953638016714,0.1652666637625307,-0.21930066894110725,-0.48023894164208386,-0.7370328358467851,0.8980996808378112,1.4933738452482725,0.7536935715795813,2.249225622700322,-0.07064694781305246,-1.1510463912606763,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.03055555555555552
2018-03-16 00:00:00+00:00,000008,0.8559298158370516,0.1521739130434783,-0.37888619936062856,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.170443656069614,3.9308943089430888,0.35543909529513773,0.11625691713028152,-0.8061732420835969,-0.46153210348859863,-0.7268989041501539,-0.5886786476379609,0.15083985698980176,-0.08798731082229772,0.4741321335625302,-0.33141700648115846,-1.3972238599616156,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.0332409972299168
2018-03-19 00:00:00+00:00,000008,0.5383780600907928,-1.3532608695652175,-0.19236102393586166,-0.24637700619613626,-0.36923078473372695,-0.5524283213128841,2.0792215709654016,3.922764227642276,0.2355215518795929,0.1482466440480176,2.289123643550431,-0.3933181185710803,-0.7065512479703328,0.9403883685193811,1.7814040666213333,0.07507108231301884,1.0499740141133767,0.30542757306486723,-1.287538307176881,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.012784090909090889
2018-03-20 00:00:00+00:00,000008,0.7035313255888279,-0.46195652173913043,-0.5905200758487967,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.0773482810978585,3.914634146341463,0.29541162957766315,0.07280737040467428,-0.2777750117296335,-0.34840079438087806,-0.6827157549246333,0.16533322940554673,1.0582229184773757,0.027716578083053337,0.7427740841664587,0.4418916362275466,-1.6507481446958367,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.005730659025787971
2018-03-21 00:00:00+00:00,000008,1.1770271581530238,0.15760869565217392,-0.790079657204755,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,2.0687842936933896,3.8983739837398375,0.4659592050515074,0.2975559864485358,0.3630309481235432,-0.35809728003967417,-0.6508814067319586,0.5524418169777315,1.2123017962320368,1.3921771695774097,-0.035625072295509874,1.532538989306795,-1.7543983369141258,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.0285714285714286
2018-03-22 00:00:00+00:00,000008,0.3884453014294301,-0.15760869565217392,-1.1259146320252016,-0.25000019791662526,-0.4000000173931607,-0.5633233671650907,1.9698461976568304,3.8780487804878048,-0.5148721120165366,-0.6311612872218796,0.7187774193097599,-0.29894443541273663,-0.6118206074783433,1.135000067814589,1.783491282755062,0.38172007652986933,0.6360563986991978,3.3986997626664355,-1.6407573859598994,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.03008595988538694
2018-03-23 00:00:00+00:00,000008,1.044698867841337,0.0,-1.237955790759521,-0.3333336111110648,-0.46153848476331055,-0.6004655694292061,1.9049434835143781,3.873983739837399,-0.5175983435669325,-0.5394625516422843,-0.7261321235352699,-0.25755337760004243,-0.5925816249850542,-0.370919788266014,0.4160025648615552,-0.0733072226092125,0.7663140196478484,1.2725037350126163,-1.679473144844805,217000000.0,1.2637,98125700.0,0.058499999999999996,,0.32,0.0367,2.11,0.95,0.14,-0.04,0.21760000000000002,0.029900000000000003,0.0374,527.28,276.7,3.02,2.21,2.21,0.23,0.1825,3.949050159218253,,0.029900000000000003,1.2232400938959096,-1.0898885588948528,250.57999999999998,-0.03008595988538694
