date,ticker,kurtosis_20d,bb_upper,pct_change,rolling_std_5d,rolling_std_30d,rolling_std_20d,macd_hist,atr_14,skewness_20d,open_close_range,amount,volume_ma_20,macd,rolling_std_10d,volume_change,price_range,volume_ratio_20d,volume_roc_10d,volume_roc_5d,volume_roc_3d,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2018-02-26 00:00:00+00:00,000050,0.3865268514039898,0.3990397805615121,1.93521421107628,-0.33094997750205674,3.3613953779015353,3.8904886050104004,0.15890487440266574,0.6376413942526804,-0.5153304859754515,-0.09523809523810209,0.6704526558800327,0.08060719882191876,-3.011144577263554,0.6919339536608303,-0.4584693902297313,-0.4333333333333343,-0.7807538145768806,-0.6766980854384499,-0.5119058137808402,-0.4731331507933669,378000000.0,0.11560000000000001,108000000.0,1.5635,,-0.0058,0.2696,9.71,8.09,0.55,-0.3,0.0487,0.0282,0.0278,128.29,69.13,1.95,1.62,1.62,0.56,0.35719999999999996,-19.934471460596658,,0.0282,1.5556914192728386,-1.112755516485473,59.16,0.041237113402062056
2018-02-27 00:00:00+00:00,000050,0.16219331399496847,0.5330198926727756,0.1755485893416928,0.980978305524871,3.2601414851146058,3.739225824952402,0.9537678427032611,0.7120909522898748,-0.4906379960896044,2.190476190476187,0.4523783658042849,0.09231461652136551,-2.686144652226297,1.0796647578922702,3.177046598688352,1.799999999999996,0.7770659939595915,0.6611692989265143,0.3706733742022839,4.352413542751596,378000000.0,0.11560000000000001,108000000.0,1.5635,,-0.0058,0.2696,9.71,8.09,0.55,-0.3,0.0487,0.0282,0.0278,128.29,69.13,1.95,1.62,1.62,0.56,0.35719999999999996,-19.934471460596658,,0.0282,1.5556914192728386,-1.112755516485473,59.16,0.05797101449275368
2018-02-28 00:00:00+00:00,000050,0.16901692154705428,0.602270185547556,0.43051201671891326,1.3733379950897542,3.1206776972244747,3.529850974412012,1.5347699276263775,0.6893845040834806,-0.4794242423650361,-0.4761904761904766,0.09877893837096646,0.11009641507417742,-2.382162045785033,1.1682568989568254,-0.28295179141698135,0.4999999999999993,0.2899720286378983,-0.21512379243836693,0.7420879808022445,0.9661325203731873,378000000.0,0.11560000000000001,108000000.0,1.5635,,-0.0058,0.2696,9.71,8.09,0.55,-0.3,0.0487,0.0282,0.0278,128.29,69.13,1.95,1.62,1.62,0.56,0.35719999999999996,-19.934471460596658,,0.0282,1.5556914192728386,-1.112755516485473,59.16,0.022115959354453138
2018-03-01 00:00:00+00:00,000050,0.3797032950300036,0.6477216072223425,0.3009404388714733,1.3277757465870828,3.013761865848004,3.057026020889548,2.0095419903081244,0.6900510930879886,-0.5554160824771495,1.7142857142857275,0.4000766130357918,0.05301269017602198,-2.0743616675763143,1.367766635194434,-0.5144431492019047,0.9333333333333276,-0.2367157848304404,-0.4410305660842984,1.6185828592499252,0.869497409375883,378000000.0,0.11560000000000001,108000000.0,1.5635,,-0.0058,0.2696,9.71,8.09,0.55,-0.3,0.0487,0.0282,0.0278,128.29,69.13,1.95,1.62,1.62,0.56,0.35719999999999996,-19.934471460596658,,0.0282,1.5556914192728386,-1.112755516485473,59.16,-0.0017804154302671297
2018-03-02 00:00:00+00:00,000050,0.383330198521101,0.6802602011032878,0.19644723092998953,1.1840292151168705,2.8695355023073796,2.5396252493604137,2.357000078722808,0.6955036570484644,-0.606212579034827,1.3809523809523914,0.6159789983270599,0.04748667521009527,-1.7789521148428156,1.5419818042345763,0.7929528156077431,0.9999999999999926,0.32496018634483054,0.5565904233930917,0.7581632451294937,-0.3217662844014818,378000000.0,0.11560000000000001,108000000.0,1.5635,,-0.0058,0.2696,9.71,8.09,0.55,-0.3,0.0487,0.0282,0.0278,128.29,69.13,1.95,1.62,1.62,0.56,0.35719999999999996,-19.934471460596658,,0.0282,1.5556914192728386,-1.112755516485473,59.16,0.01890135853514473
2018-03-05 00:00:00+00:00,000050,0.3916590682637578,0.6406216100022196,0.593521421107628,-0.014873803510625973,2.7686734936786306,1.9474581014255454,2.57601336466947,0.748902636717517,-0.6439581937155303,0.23809523809523406,0.5377379706510945,0.07175606900550978,-1.5061163729031468,1.1674051324154295,0.40511086012120906,1.6666666666666543,0.6095788109064401,0.6182904906613325,1.9687864081040778,0.23523069935074734,378000000.0,0.11560000000000001,108000000.0,1.5635,,-0.0058,0.2696,9.71,8.09,0.55,-0.3,0.0487,0.0282,0.0278,128.29,69.13,1.95,1.62,1.62,0.56,0.35719999999999996,-19.934471460596658,,0.0282,1.5556914192728386,-1.112755516485473,59.16,0.011065812463599167
2018-03-06 00:00:00+00:00,000050,0.7774360675103904,0.6835428152122076,0.8526645768025078,0.19105800939267467,2.7037520491213543,1.5894476311017918,2.7961492366357787,0.757401901674604,-0.8597353127552709,-0.42857142857143826,0.9793250553362391,0.04369919997102981,-1.216078270416489,1.2867907858636303,-0.06324935382564609,0.46666666666666085,0.5018314914954348,0.113256990979893,-0.14994795648087575,0.8238566951467633,378000000.0,0.11560000000000001,108000000.0,1.5635,,-0.0058,0.2696,9.71,8.09,0.55,-0.3,0.0487,0.0282,0.0278,128.29,69.13,1.95,1.62,1.62,0.56,0.35719999999999996,-19.934471460596658,,0.0282,1.5556914192728386,-1.112755516485473,59.16,-0.014840182648401713
2018-03-07 00:00:00+00:00,000050,0.7480277290397135,0.7541513878409066,-1.0031347962382444,0.6188382001980072,2.631183249491019,1.2466396902046106,3.067046927471599,0.750793310908744,-0.9029757744239074,0.42857142857142133,0.457465793607102,0.09827841887620253,-0.8897444392588204,1.4261369537500745,0.7587069185377343,0.5999999999999909,1.1172929154360416,1.4424537225889087,0.6174075175684308,0.7927879371633811,378000000.0,0.11560000000000001,108000000.0,1.5635,,-0.0058,0.2696,9.71,8.09,0.55,-0.3,0.0487,0.0282,0.0278,128.29,69.13,1.95,1.62,1.62,0.56,0.35719999999999996,-19.934471460596658,,0.0282,1.5556914192728386,-1.112755516485473,59.16,-0.019883040935672506
2018-03-08 00:00:00+00:00,000050,0.8609100063832983,0.7501591316656239,-0.6854754440961337,0.35661971132799325,2.5242351387354565,1.2895518825592143,2.870755849055489,0.7325727911997216,-0.5338342010095738,1.3809523809523745,0.5196883053576512,0.04637571696172343,-0.7215563006977505,1.1106461926277038,-0.5199519855008446,0.7333333333333326,0.369723773501915,2.5418471925862822,0.6099130838690757,-0.1689194045885092,378000000.0,0.11560000000000001,108000000.0,1.5635,,-0.0058,0.2696,9.71,8.09,0.55,-0.3,0.0487,0.0282,0.0278,128.29,69.13,1.95,1.62,1.62,0.56,0.35719999999999996,-19.934471460596658,,0.0282,1.5556914192728386,-1.112755516485473,59.16,-0.002378121284185443
2018-03-09 00:00:00+00:00,000050,0.8169226263820145,0.7517982551748768,1.070010449320794,0.3958839041431103,2.4258856644465188,1.3128687306690514,2.4719641584871344,0.7108201487279106,-0.517015332762227,0.8095238095238128,0.6826534153102235,0.04386183442939174,-0.6459402268553376,0.7544078545351386,0.2230967704576117,0.6666666666666559,0.5283177499525613,0.8916651184338702,0.19675264957661287,0.05921909844891392,378000000.0,0.11560000000000001,108000000.0,1.5635,,-0.0058,0.2696,9.71,8.09,0.55,-0.3,0.0487,0.0282,0.0278,128.29,69.13,1.95,1.62,1.62,0.56,0.35719999999999996,-19.934471460596658,,0.0282,1.5556914192728386,-1.112755516485473,59.16,-0.032463768115941954
