date,ticker,rsi_14,bb_upper,atr_14,macd,rolling_std_30d,amount,kurtosis_20d,volume_ma_20,volume_ma_5,rolling_std_5d,skewness_20d,macd_hist,rolling_std_10d,rolling_std_20d,price_range,pct_change,volume_ratio_20d,open_close_range,volume_roc_10d,price_position_20d,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2018-02-26 00:00:00+00:00,000039,-0.6752120391590147,0.5650493266538477,1.5138859128334805,-2.5971753444826198,2.6269816650853586,0.7125319502570722,0.6765160106644563,0.45145211218338965,-0.2379350450503503,0.6491626640417866,-1.5416012004663326,-1.2227908038076314,2.101956223346957,3.6446825210215605,0.2709923664122165,1.0378006872852235,-0.6332572809868408,0.03932584269664179,-0.4706002535491976,-0.24400705380127902,-190000000.0,-1.11,-394000000.0,-1.2701,,-0.2273,-0.0898,8.69,1.05,5.62,0.25,-0.0084,-0.0102,-0.0068000000000000005,245.67,84.93,1.05,0.53,0.53,2.97,0.705,4.883435474859107,,-0.0102,3.3898190175626524,-2.7839953674317086,160.73999999999998,-0.024965473281631727
2018-02-27 00:00:00+00:00,000039,-0.4594807534599137,0.6267972689901089,1.4575676959022246,-2.4051280050606256,2.5755474879904083,0.6591620371679844,0.6361804247498289,0.4654534994129239,-0.25315583803747044,1.1045789628515132,-1.5395113489317935,-0.40364176835377685,0.7353552368886743,3.587206433191442,0.7118320610687096,-0.8728522336769761,-0.30296803351202023,0.547752808988783,0.06959421002030151,-0.1492966523307338,-190000000.0,-1.11,-394000000.0,-1.2701,,-0.2273,-0.0898,8.69,1.05,5.62,0.25,-0.0084,-0.0102,-0.0068000000000000005,245.67,84.93,1.05,0.53,0.53,2.97,0.705,4.883435474859107,,-0.0102,3.3898190175626524,-2.7839953674317086,160.73999999999998,0.009737988916985001
2018-02-28 00:00:00+00:00,000039,-0.5737597605530116,0.6248982432996008,1.3919974455317214,-2.281624412582341,2.5393679155362756,0.16151682701906558,0.7460257942230025,0.421261382734189,-0.22841600275938648,0.681483127173568,-1.6100802136315284,0.04100386566154888,0.8125679671896058,3.39751254827174,0.5534351145038257,-0.0893470790378007,-0.32872682347639504,0.9185393258427179,-0.9613054120527156,-0.2299946414624998,-190000000.0,-1.11,-394000000.0,-1.2701,,-0.2273,-0.0898,8.69,1.05,5.62,0.25,-0.0084,-0.0102,-0.0068000000000000005,245.67,84.93,1.05,0.53,0.53,2.97,0.705,4.883435474859107,,-0.0102,3.3898190175626524,-2.7839953674317086,160.73999999999998,-0.0004309880400819551
2018-03-01 00:00:00+00:00,000039,-0.5858879574254255,0.5990216637053993,1.3127180402528433,-2.1633351246298322,2.5164755436756243,0.3300991093142027,0.7977885235352622,0.37450979071740376,-0.18089860937013638,-0.052538710943023245,-1.6690836198338546,0.3806938740982038,0.8694063843394431,3.210891932262407,0.33396946564885527,0.4604810996563575,-0.8041292721598052,-0.23876404494381334,-0.9227959776581925,-0.2384358537147766,-190000000.0,-1.11,-394000000.0,-1.2701,,-0.2273,-0.0898,8.69,1.05,5.62,0.25,-0.0084,-0.0102,-0.0068000000000000005,245.67,84.93,1.05,0.53,0.53,2.97,0.705,4.883435474859107,,-0.0102,3.3898190175626524,-2.7839953674317086,160.73999999999998,0.02384201653688696
2018-03-02 00:00:00+00:00,000039,-0.48020351953933965,0.599128480997285,1.2207087054161891,-2.015855390875377,2.4669135176242767,0.06662749668434534,0.8051247647085715,0.33633061143431364,-0.1389672911741694,-0.2171974189934109,-1.6700609578084467,0.7421645847689757,0.9587045262802171,2.9084863861283368,0.1145038167938958,-0.6666666666666667,-0.6022930198224488,0.26966292134832787,-0.24323774691396205,-0.19673626518852963,-190000000.0,-1.11,-394000000.0,-1.2701,,-0.2273,-0.0898,8.69,1.05,5.62,0.25,-0.0084,-0.0102,-0.0068000000000000005,245.67,84.93,1.05,0.53,0.53,2.97,0.705,4.883435474859107,,-0.0102,3.3898190175626524,-2.7839953674317086,160.73999999999998,0.027182577210948695
2018-03-05 00:00:00+00:00,000039,-0.5787241179557694,0.6008679428944196,1.1378304564252608,-1.9181825112549535,2.428205647099664,0.16061403557301906,0.7966332615814307,0.23074158078858623,-0.19380378910883592,-0.16207969369564346,-1.613514360482865,0.878256598529385,0.34729147140159344,2.4561381922728183,0.019083969465650656,-0.5498281786941581,-0.8224471808787363,-0.23876404494379738,-0.9117434076528468,-0.2383390655357511,-190000000.0,-1.11,-394000000.0,-1.2701,,-0.2273,-0.0898,8.69,1.05,5.62,0.25,-0.0084,-0.0102,-0.0068000000000000005,245.67,84.93,1.05,0.53,0.53,2.97,0.705,4.883435474859107,,-0.0102,3.3898190175626524,-2.7839953674317086,160.73999999999998,0.042656352146437045
2018-03-06 00:00:00+00:00,000039,-0.6585930257782884,0.5804370143715295,1.110932334023415,-1.8530675878649268,2.4378001828498888,0.9292389772731996,0.8111755183891646,0.18457547637891653,-0.28927393641633076,-0.18972475054383675,-1.628218318028877,0.8870612467290759,0.15101295920821126,1.96001477279634,0.7423664122137528,1.539518900343643,-0.6625130783228657,0.22471910112360124,-0.5455412876335214,-0.22606003013165507,-190000000.0,-1.11,-394000000.0,-1.2701,,-0.2273,-0.0898,8.69,1.05,5.62,0.25,-0.0084,-0.0102,-0.0068000000000000005,245.67,84.93,1.05,0.53,0.53,2.97,0.705,4.883435474859107,,-0.0102,3.3898190175626524,-2.7839953674317086,160.73999999999998,-0.0017583120204604245
2018-03-07 00:00:00+00:00,000039,-0.2888934889875282,0.6014542646479224,1.0992302692988953,-1.68351881802468,2.3850978967868857,0.3735780311403551,1.1018301604083496,0.1441534526425274,-0.23814746733744438,0.03571987932506469,-1.8184556837102235,1.2150890781255241,-0.05893101145786694,1.5939739925145373,0.9007633587786367,-0.7835051546391752,0.332669985611996,2.123595505618018,0.4905282823882021,-0.050077479229691975,-190000000.0,-1.11,-394000000.0,-1.2701,,-0.2273,-0.0898,8.69,1.05,5.62,0.25,-0.0084,-0.0102,-0.0068000000000000005,245.67,84.93,1.05,0.53,0.53,2.97,0.705,4.883435474859107,,-0.0102,3.3898190175626524,-2.7839953674317086,160.73999999999998,-0.005793898889727221
2018-03-08 00:00:00+00:00,000039,-0.41787092005563475,0.601208309800203,1.0091952977389,-1.5800368618154867,2.358683829778751,1.2826746206724908,1.0262101383536544,0.13978160854842395,-0.20243107843219726,0.036912371833886376,-1.7429164280863527,1.2744507620026795,-0.3922138935501003,1.1033697839017422,-0.04389312977099895,2.1374570446735395,-0.3785260097766325,0.5926966292135096,1.0246262897400356,0.0036316503368537204,-190000000.0,-1.11,-394000000.0,-1.2701,,-0.2273,-0.0898,8.69,1.05,5.62,0.25,-0.0084,-0.0102,-0.0068000000000000005,245.67,84.93,1.05,0.53,0.53,2.97,0.705,4.883435474859107,,-0.0102,3.3898190175626524,-2.7839953674317086,160.73999999999998,-0.05258480999425018
2018-03-09 00:00:00+00:00,000039,0.03877574219552503,0.6689701863738067,1.054820415838718,-1.3450690752552392,2.2660221696593275,0.8851588719718025,1.4768544809242639,0.12405272793643697,-0.039423262974584976,0.8536889556677942,-1.9175172196025385,1.7260702263068477,-0.053516023505739196,0.8825345102952679,1.4351145038168007,-0.4467353951890035,0.7612417781739976,2.0308988764045224,1.9311023637617928,0.32529051413786003,-190000000.0,-1.11,-394000000.0,-1.2701,,-0.2273,-0.0898,8.69,1.05,5.62,0.25,-0.0084,-0.0102,-0.0068000000000000005,245.67,84.93,1.05,0.53,0.53,2.97,0.705,4.883435474859107,,-0.0102,3.3898190175626524,-2.7839953674317086,160.73999999999998,-0.04079968433513085
